Category,Short Description,Description
Google Domains,Domain Registration Management,Register and manage domains through an intuitive interface.
Google Domains,WHOIS Privacy Protection,Enable free WHOIS privacy to protect personal information.
Google Domains,Domain Renewal Notifications,Receive alerts for domains nearing expiration to ensure renewals.
Google Domains,DNS Record Management,Configure and manage DNS records for your domains directly.
Google Domains,Bulk Domain Registration,Search and register multiple domains at once using bulk tools.
Google Domains,Subdomain Creation and Management,Set up and manage subdomains for your registered domains.
Google Domains,Domain Forwarding Setup,Redirect domain traffic to another website with forwarding tools.
Google Domains,Multi-Year Domain Registration,Register domains for multiple years to simplify renewal processes.
Google Domains,Email Forwarding Services,Set up email forwarding for custom domain-based email addresses.
Google Domains,SSL Certificate Integration,Secure your website by integrating SSL certificates with your domains.
Google Domains,Auto-Renewal Configuration,Enable automatic renewal for domains to prevent accidental expiration.
Google Domains,Advanced Domain Search Filters,"Use filters like TLD, price, and keywords to find the perfect domain."
Google Domains,Domain Transfer Management,Transfer domains to or from Google Domains seamlessly.
Google Domains,Domain Ownership Verification,Verify domain ownership for third-party integrations or services.
Google Domains,TLD-Based Domain Organization,Organize domains by TLDs for better portfolio management.
Google Domains,Bulk DNS Record Updates,Update DNS settings for multiple domains in a single operation.
Google Domains,Domain Parking Services,Park unused domains to reserve them for future use.
Google Domains,Integration with Google Workspace,Link domains to Google Workspace for email and productivity tools.
Google Domains,Domain Locking for Security,Lock domains to prevent unauthorized transfers or changes.
Google Domains,Domain Backorder Monitoring,Monitor and place backorders for domains that are about to expire.
Google Domains,Registrar Transfer Authorization Codes,Generate authorization codes to transfer domains between registrars.
Google Domains,Reverse WHOIS Lookup,Search for domains registered under specific owner details.
Google Domains,Domain Portfolio Export,Export your domain portfolio for offline analysis or record-keeping.
Google Domains,Domain Valuation Tools,Estimate the value of domains using Google Domains’ built-in tools.
Google Domains,Registrar Renewal Fee Tracking,Track renewal fees for domains across different registrars.
Google Domains,IPv6 DNS Record Configuration,Set up IPv6 records to ensure modern internet connectivity.
Google Domains,Registrar-Specific Renewal Policies,Track renewal policies for domains registered with Google Domains.
Google Domains,Bulk Domain Renewals,Renew multiple domains at once to save time.
Google Domains,Domain Redirect Analytics,Track and analyze the performance of redirected domains.
Google Domains,Custom Name Server Setup,Set up custom name servers for advanced DNS configuration.
Google Domains,Domain Ownership History Logs,Maintain logs of ownership changes for domains in your portfolio.
Google Domains,Premium Domain Search and Purchase,Find and buy premium domains using advanced search options.
Google Domains,Domain Auction Participation,Participate in domain auctions for high-value or expired domains.
Google Domains,Domain Usage Categorization,"Categorize domains by usage, such as personal, business, or parked."
Google Domains,Registrar Performance Analytics,Analyze registrar performance for domain renewals and transfers.
Google Domains,Domain Grace Period Tracking,Monitor domains in their grace period to renew them before expiration.
Google Domains,Email Hosting Integration,Set up professional email hosting services with your domains.
Google Domains,Subdomain SSL Certificate Assignment,Assign SSL certificates to specific subdomains for added security.
Google Domains,Domain Expiration Cost Analysis,Analyze financial impacts of expiring domains and renewals.
Google Domains,Advanced Keyword Domain Search,Find domains containing specific keywords or phrases.
Google Domains,Marketplace Domain Sale Tracking,Track the performance of domains listed for sale in marketplaces.
Google Domains,DNS Propagation Monitoring,Monitor DNS propagation for recent domain changes.
Google Domains,Domain Transfer Status Tracking,Track the progress of ongoing domain transfers.
Google Domains,Domain Portfolio ROI Analysis,Measure return on investment for domains in your portfolio.
Google Domains,Domain Auction Watchlist,Create a watchlist for domains you’re interested in bidding on.
Google Domains,Domain Appraisal Trend Reports,Monitor changes in domain valuations over time.
Google Domains,Domain Renewal Grace Period Alerts,Receive notifications for domains nearing the end of their grace periods.
Google Domains,Geo-Targeted Domain Registration,Register country-code TLDs for specific geographic regions.
Google Domains,Domain Parking Revenue Reports,Track revenue generated from parked domains.
Google Domains,Two-Factor Authentication (2FA),Enable 2FA for secure access to your Google Domains account.
Google Domains,Domain Lease Management,Manage lease agreements for domains rented to third parties.
Google Domains,Domain Traffic Analytics,Track and analyze traffic data for active or parked domains.
Google Domains,WHOIS Record Management,Update and manage public WHOIS records for registered domains.
Google Domains,DNS Security Configuration,Configure DNSSEC settings to protect domains from threats.
Google Domains,Registrar Bulk Transfer Tools,Transfer multiple domains between registrars in one action.
Google Domains,Domain Marketplace Revenue Tracking,Monitor revenue from domains sold in marketplaces.
Google Domains,Domain Profitability Metrics,"Analyze profitability from domains sold, leased, or monetized."
Google Domains,Advanced Subdomain Management,Manage complex subdomain setups for large-scale projects.
Google Domains,Registrar API Integration,Use APIs to automate domain management tasks.
Google Domains,Domain Auction Success Metrics,Track success rates for domains bought at auction.
Google Domains,Domain Valuation Comparison Tools,Compare valuations across multiple domains to prioritize investments.
Google Domains,Domain Renewal Strategy Development,Build renewal strategies based on domain usage and profitability.
Google Domains,Registrar Renewal Fee Forecasting,Forecast renewal fees to plan budgets effectively.
Google Domains,Domain Keyword Suggestion Tools,Use suggestions to find relevant domains based on searched keywords.
Google Domains,Bulk WHOIS Privacy Updates,Enable or disable WHOIS privacy for multiple domains in bulk.
Google Domains,Domain Lease Revenue Monitoring,Track revenue generated from leasing unused domains.
Google Domains,Subdomain Usage Reports,Generate reports on subdomain traffic and performance.
Google Domains,Registrar Transfer Success Rates,Analyze metrics for successful domain transfers.
Google Domains,Domain Redirect Configuration Logs,Maintain logs of redirect changes for audit purposes.
Google Domains,Integration with Google Analytics,Link domains to Google Analytics for traffic and performance insights.
Google Domains,Domain Portfolio Diversification Reports,"Measure diversification across TLDs, regions, and categories."
Google Domains,SSL Installation History Logs,Track installation history for SSL certificates on domains.
Google Domains,Registrar Support Quality Analysis,Evaluate the quality of support provided by Google Domains.
Google Domains,Domain Renewal Success Metrics,Analyze the success rate of timely domain renewals.
Google Domains,Bulk Domain Import Tools,Import domain data from other registrars for centralized management.
Google Domains,Marketplace Auction Watchlist Analytics,Analyze watchlisted domains for auction trends and bidding success.
Google Domains,Registrar Renewal Performance Reports,Generate reports for renewal success rates across registrars.
Google Domains,Domain Portfolio Consolidation Plans,Plan consolidation of domain portfolios into fewer registrars.
Google Domains,Premium Domain Revenue Tracking,Track revenue generated from premium domain sales.
Google Domains,Custom Domain Grouping,Group domains based on business categories or functionality.
Google Domains,Domain Expiration Trends Analysis,Analyze expiration trends to optimize renewal strategies.
Google Domains,Domain Traffic Monetization Reports,Monitor revenue from traffic monetization strategies.
Google Domains,Lease Agreement Templates,Use pre-made templates for domain lease agreements.
Google Domains,Domain SEO Performance Metrics,Track SEO performance for redirected or active domains.
Google Domains,Domain Portfolio Export Formats,Export domain data in formats like CSV or JSON for analysis.
