Category,Short Description,Description
New Relic,Alert Policy Automation,"Automate the creation and management of alert policies using NerdGraph API. This includes setting up threshold-based alerts and configuring notification channels for different teams [\[1\]](https://docs.newrelic.com/docs/apis/intro-apis/introduction-new-relic-apis/#:~:text=New%20Relic%20offers%20a,SDKs%20you%20can%20use) [\[2\]](https://docs.newrelic.com/docs/alerts/scale-automate/rest-api/rest-api-calls-alerts/#:~:text=Our%20REST%20API%20is,about%20NerdGraph%2C%20our%20preferred)."
New Relic,Dynamic Dashboard Creation,"Script the creation of dashboards programmatically using APIs to ensure consistency across teams and reduce manual effort in dashboard setup [\[3\]](https://newrelic.com/blog/best-practices/best-practices-automating-monitoring#:~:text=Automate%20it%20%234%3A%20Use,DSLs%20for%20dashboards%20and)."
New Relic,OpenAI Performance Monitoring,"Automate the monitoring of OpenAI model usage and performance metrics. This helps track API calls, response times, and costs associated with AI model implementations [\[4\]](https://newrelic.com/blog/nerdlog/ai-integrations#:~:text=New%20Relic%20introduced%20the,usage%2C%20analyze%20model%20performance%2C)."
New Relic,Log Forwarding Setup,"Automate the configuration of log forwarding from various sources to New Relic using the Log API. This ensures consistent log collection and analysis across all applications [\[5\]](https://docs.newrelic.com/docs/logs/log-api/introduction-log-api/#:~:text=If%20our%20log%20forwarding,Relic%20via%20an%20HTTP)."
New Relic,Synthetic Monitor Deployment,"Create and manage synthetic monitoring tests programmatically to check application endpoints and API performance regularly [\[3\]](https://newrelic.com/blog/best-practices/best-practices-automating-monitoring#:~:text=Automate%20it%20%234%3A%20Use,DSLs%20for%20dashboards%20and)."
New Relic,Infrastructure Agent Installation,"Automate the deployment and configuration of New Relic infrastructure agents across multiple servers and environments [\[6\]](https://github.com/newrelic/infrastructure-agent#:~:text=The%20infrastructure%20agent%20%28infra%2Dagent%29,to%20the%20New%20Relic)."
New Relic,JIRA Integration Setup,"Automate the integration between New Relic and Jira for incident tracking and management. This enables automatic creation of Jira tickets based on New Relic alerts [\[7\]](https://www.apmdigest.com/new-relic-and-atlassian-introduce-observability-integration-for-incidents-tab-in-jira#:~:text=New%20Relic%20announced%20a,to%20track%20incidents%20in)."
New Relic,Baseline Alert Configuration,"Script the setup of dynamic baseline alerts using NRQL to detect anomalies based on historical performance patterns [\[8\]](https://drdroid.io/engineering-tools/guide-for-new-relic-alerting#:~:text=Dynamic%20baseline%20alerting%20in,are%20only%20triggered%20when)."
New Relic,APM Agent Deployment,"Automate the installation and configuration of APM agents across applications in your CI/CD pipeline [\[9\]](https://newrelic.com/blog/best-practices/best-practices-automating-monitoring#:~:text=%2D%20Use%20APIs%20and,DSLs%20for%20dashboarding%20and)."
New Relic,Custom Metric Collection,Script the collection and submission of custom metrics to New Relic using APIs for business-specific monitoring needs.
