Category,Short Description,Description
Snort,Detect Port Scans,Automate the detection of port scanning attempts by monitoring traffic patterns and identifying repeated connection attempts to various ports.
Snort,Block Malicious IPs,Automatically block traffic from known malicious IP addresses by updating Snort rules dynamically based on threat intelligence feeds.
Snort,Detect SQL Injection,Identify SQL injection attempts by analyzing HTTP request payloads for suspicious SQL commands and flagging or blocking such traffic.
Snort,Alert on Unauthorized Access,Monitor for access attempts to restricted areas of a network and send alerts if unauthorized IP addresses try to connect.
Snort,Monitor DNS Tunneling,"Flag DNS queries that indicate possible data exfiltration via DNS tunneling, based on unusual query patterns or payloads."
Snort,Detect Brute Force Attacks,"Identify repeated failed login attempts to detect brute force attacks targeting SSH, RDP, or other protocols."
Snort,Alert on Malware Downloads,Monitor HTTP or HTTPS traffic for known malware file signatures and send alerts when such files are downloaded.
Snort,Detect Suspicious User Agents,Analyze HTTP headers to detect suspicious or unusual user agents that might indicate malicious activity or bot traffic.
Snort,Block Tor Exit Nodes,Use threat intelligence to dynamically block traffic originating from known Tor exit nodes that may be used for anonymity by attackers.
Snort,Detect Fileless Malware,Identify anomalous traffic patterns that might indicate the presence of fileless malware using memory-based exploitation techniques.
Snort,Monitor Outbound Traffic Volume,"Flag excessive outbound traffic from specific hosts, which could indicate data exfiltration or compromised devices."
Snort,Detect Phishing Sites,Identify traffic to known phishing domains by integrating Snort with domain reputation feeds or custom blocklists.
Snort,Monitor Suspicious FTP Activity,"Flag unusual FTP activity, such as file uploads from unauthorized users or connections to suspicious servers."
Snort,Alert on ARP Spoofing Attempts,"Detect ARP spoofing attacks by identifying unusual ARP traffic patterns, such as duplicate MAC addresses."
Snort,Identify Botnet C\&C Communication,Detect communication between compromised devices and botnet command-and-control servers by analyzing destination domains and IPs.
Snort,Flag Cleartext Passwords,"Monitor traffic to detect and alert on transmission of passwords in cleartext, especially over unencrypted protocols."
Snort,Detect Exploit Kits,Identify network traffic patterns associated with exploit kits attempting to deliver malware onto vulnerable systems.
Snort,Enforce Geo-Blocking,Dynamically block traffic originating from specific geographic locations by integrating with IP geolocation databases.
Snort,Monitor IoT Device Traffic,"Detect anomalous behavior in IoT device traffic, such as sudden spikes in activity or communication with unknown servers."
Snort,Detect DNS Amplification Attacks,Identify signs of DNS amplification attacks by monitoring for high-frequency DNS queries with large response payloads.
Snort,Block Known Ransomware Domains,Dynamically block traffic to domains associated with ransomware operations using regularly updated domain threat feeds.
Snort,Detect SMB Exploitation Attempts,"Monitor for suspicious SMB traffic patterns that could indicate exploitation attempts, such as EternalBlue."
Snort,Alert on Suspicious Payloads,"Inspect packet payloads for suspicious content, such as embedded shellcode or malicious scripts, and alert administrators."
Snort,Monitor for Social Engineering,Flag traffic to known social engineering or phishing sites to prevent users from falling victim to scams.
Snort,Detect HTTP Flood Attacks,Identify HTTP flood attacks by monitoring for a high number of HTTP requests from a single source in a short time.
Snort,Alert on Crypto Mining Activity,Detect traffic patterns associated with crypto mining pools and flag devices participating in unauthorized mining activities.
Snort,Monitor Sensitive Data Leakage,"Scan outbound traffic for sensitive data, such as credit card numbers or Social Security numbers, being transmitted unencrypted."
Snort,Detect Zero-Day Exploits,Monitor for unusual traffic patterns or payloads that could indicate the use of zero-day exploits targeting network devices.
Snort,Block Outdated Protocols,"Automatically block traffic using outdated and insecure protocols, such as SSLv2, SSLv3, or Telnet."
Snort,Detect Rogue DHCP Servers,Monitor for unauthorized DHCP servers on the network that could disrupt legitimate network operations.
