Category,Short Description,Description
Kernel for Excel Repair,Repair corrupted Excel workbooks,Automate the repair of corrupted Excel workbooks to restore data and functionality.
Kernel for Excel Repair,Recover Excel files after unexpected shutdown,Automate the recovery of Excel files damaged after unexpected system shutdowns.
Kernel for Excel Repair,Fix Excel files with unreadable content,"Automate repairing Excel files that show errors like ""The content is unreadable."""
Kernel for Excel Repair,Repair Excel files with broken hyperlinks,Automate fixing Excel files where hyperlinks are corrupted or unresponsive.
Kernel for Excel Repair,Recover password-protected Excel files,Automate the repair process for damaged Excel files that are password-protected without removing the password.
Kernel for Excel Repair,Restore formulas in corrupted Excel files,Automate recovering broken or missing formulas in Excel sheets.
Kernel for Excel Repair,Recover formatting in Excel files,"Automate restoring formatting such as font styles, colors, and borders from damaged Excel files."
Kernel for Excel Repair,Recover embedded charts,Automate the recovery of embedded charts and visualizations from corrupted Excel files.
Kernel for Excel Repair,Recover corrupted pivot tables,Automate fixing and recovering pivot tables from damaged Excel workbooks.
Kernel for Excel Repair,Recover cell comments,Automate restoring lost or corrupted cell comments in Excel sheets.
Kernel for Excel Repair,Repair corrupted tables in Excel,Automate fixing corrupted tables in Excel files to restore their data and formatting.
Kernel for Excel Repair,Repair shared Excel workbooks,Automate recovering damaged shared Excel workbooks used in collaboration.
Kernel for Excel Repair,Recover missing cell data,Automate restoring missing or blank cell data in corrupted Excel files.
Kernel for Excel Repair,Fix broken external links,Automate repairing Excel files with broken links to external data sources.
Kernel for Excel Repair,Recover corrupted VBA macros,Automate restoring damaged Visual Basic for Applications (VBA) macros in Excel sheets.
Kernel for Excel Repair,Repair Excel files with corrupted headers,Automate fixing Excel files with corrupted header information or metadata.
Kernel for Excel Repair,Repair Excel files stuck in compatibility mode,Automate fixing Excel files stuck in compatibility mode due to corruption.
Kernel for Excel Repair,Restore Excel chart data,Automate recovering chart data and restoring visualizations in damaged Excel workbooks.
Kernel for Excel Repair,Fix corrupted conditional formatting,Automate repairing broken conditional formatting rules in Excel files.
Kernel for Excel Repair,Recover corrupted data validation rules,Automate restoring corrupted data validation rules in Excel sheets.
Kernel for Excel Repair,Extract worksheets from corrupted Excel files,Automate extracting individual worksheets from corrupted Excel files.
Kernel for Excel Repair,Recover cell borders,Automate restoring corrupted or missing cell borders in Excel files.
Kernel for Excel Repair,Repair workbook properties,"Automate fixing corrupted workbook properties such as author, title, and comments."
Kernel for Excel Repair,Fix broken named ranges,Automate repairing broken or inaccessible named ranges in Excel files.
Kernel for Excel Repair,Repair hyperlinks in Excel charts,Automate fixing broken hyperlinks embedded in Excel charts.
Kernel for Excel Repair,Fix corrupted freeze panes,Automate restoring freeze panes that are corrupted in Excel workbooks.
Kernel for Excel Repair,Repair corrupted drop-down lists,Automate fixing broken drop-down lists in Excel sheets.
Kernel for Excel Repair,Repair corrupted worksheet protection,Automate recovering corrupted worksheet protection settings in Excel files.
Kernel for Excel Repair,Fix broken autofilter functionality,Automate repairing autofilter functionality in corrupted Excel files.
Kernel for Excel Repair,Recover Excel files after power failure,Automate recovering Excel files damaged due to sudden power outages.
Kernel for Excel Repair,Repair corrupted merged cells,Automate fixing corrupted merged cells in Excel sheets.
