Category,Short Description,Description
SysAid,Auto-Assign Tickets to Technicians,"Automatically assign tickets to the appropriate technician based on ticket category, priority, or department."
SysAid,Notify on SLA Breach,Send automated notifications to technicians and managers when an SLA is about to breach or has breached.
SysAid,Auto-Close Resolved Tickets,"Automatically close tickets that have been in the ""Resolved"" state for a specified number of days."
SysAid,Escalate Overdue Tickets,Automatically escalate tickets that exceed SLA time to higher-level support teams or managers.
SysAid,Auto-Assign Priority to Tickets,Automatically assign ticket priorities based on keywords in the subject or description.
SysAid,Notify Users of Ticket Updates,Automatically notify users when their ticket status or priority changes.
SysAid,Reopen Tickets on User Response,Automatically reopen tickets if a user responds to a closed or resolved ticket.
SysAid,Notify on High-Priority Tickets,Send alerts to technicians and managers when high-priority tickets are logged.
SysAid,Auto-Create Tickets from Emails,Convert emails sent to the support mailbox into tickets automatically.
SysAid,Assign Tickets Based on Skills,Automatically route tickets to technicians with relevant skills to resolve the issue.
SysAid,Send Satisfaction Surveys After Resolution,Automatically send customer satisfaction surveys to users after their tickets are resolved.
SysAid,Generate Weekly SLA Reports,Automate the creation and distribution of weekly SLA performance reports for stakeholders.
SysAid,Auto-Categorize Tickets,Automatically categorize tickets based on keywords in the description or predefined rules.
SysAid,Notify on Major Incidents,Automatically notify all impacted users and stakeholders when a major incident is logged.
SysAid,Monitor Technician Workload,Track technician workloads automatically to ensure even distribution of tasks.
SysAid,Notify on VIP User Tickets,Send notifications to technicians when a ticket is submitted by a VIP user.
SysAid,Archive Old Tickets,Automatically archive tickets that have been closed for a specified period of time.
SysAid,Auto-Resolve Duplicate Tickets,Automatically resolve duplicate tickets by linking them to the original ticket.
SysAid,Notify on Ticket Escalation,Send alerts to technicians and managers whenever a ticket is escalated.
SysAid,Assign Tickets During After-Hours,Automatically assign tickets to on-call technicians for after-hours requests.
SysAid,Create Problem Records from Repeated Tickets,Automatically create a problem record when multiple tickets with the same issue are logged.
SysAid,Auto-Close Tickets Without User Response,Automatically close tickets if the user does not respond within a set time period after a resolution is provided.
SysAid,Generate Daily Ticket Reports,"Automate the creation of daily reports summarizing ticket activity, resolutions, and pending issues."
SysAid,Notify Users of Scheduled Maintenance,Automatically notify users about planned system maintenance through emails or portal alerts.
SysAid,Auto-Assign Tickets to Groups,Automatically route tickets to specific technician groups based on the issue type or request category.
SysAid,Monitor SLA Adherence,Automate SLA adherence tracking and notify managers of SLA violations.
SysAid,Auto-Tag Tickets for Reporting,Automatically tag tickets with relevant labels for easier tracking and reporting.
SysAid,Notify on Low Customer Satisfaction,Send alerts to managers when customer satisfaction scores fall below a defined threshold.
SysAid,Auto-Generate Knowledge Base Articles,Automatically create knowledge base articles from resolved tickets with detailed solutions.
SysAid,Create Tasks for New Employees,"Automatically generate onboarding tasks for new employees, such as account creation or hardware setup."
