Category,Short Description,Description
Firewall Builder,Automate rule creation,"Automate the creation of firewall rules by scripting the addition of source, destination, and service objects into policies."
Firewall Builder,Batch import rules,Use scripts to batch import firewall rules from a CSV or JSON file into Firewall Builder.
Firewall Builder,Automate NAT rule creation,Automate the creation of NAT rules by scripting the addition of NAT objects and policies.
Firewall Builder,Rule duplication,Automate the duplication of existing rules for similar configurations.
Firewall Builder,Rule cleanup,Automate the removal of unused or redundant rules to optimize the firewall configuration.
Firewall Builder,Rule grouping,"Script the grouping of related rules into logical categories (e.g., internal, external)."
Firewall Builder,Rule coloring,Automate the assignment of colors to rules for better visual organization.
Firewall Builder,Policy compilation,"Automate the compilation of policies into firewall-specific scripts (e.g., iptables)."
Firewall Builder,Policy deployment,Automate the deployment of compiled policies to target firewalls.
Firewall Builder,Backup firewall configurations,Script the backup of firewall configurations to a secure location.
Firewall Builder,Restore firewall configurations,Automate the restoration of firewall configurations from backups.
Firewall Builder,Schedule rule updates,Automate the scheduling of rule updates at specific times.
Firewall Builder,Generate rule reports,Script the generation of reports summarizing firewall rules and policies.
Firewall Builder,Audit rule changes,Automate the tracking and logging of rule changes for auditing purposes.
Firewall Builder,Validate rule syntax,Script the validation of rule syntax before deployment.
Firewall Builder,Test rule effectiveness,Automate the testing of rules to ensure they are functioning as intended.
Firewall Builder,Manage multiple firewalls,Use scripts to manage rules and policies across multiple firewalls simultaneously.
Firewall Builder,Export rules to CSV,Automate the export of firewall rules to a CSV file for analysis.
Firewall Builder,Import rules from CSV,Script the import of rules from a CSV file into Firewall Builder.
Firewall Builder,Automate object creation,"Automate the creation of objects like hosts, networks, and services."
Firewall Builder,Bulk delete objects,Script the bulk deletion of unused or obsolete objects.
Firewall Builder,Clone firewall configurations,Automate the cloning of configurations from one firewall to another.
Firewall Builder,Manage routing rules,Script the creation and management of static routing rules.
Firewall Builder,Automate interface assignments,Automate the assignment of interfaces to rules and policies.
Firewall Builder,Generate NAT reports,Script the generation of reports summarizing NAT rules and policies.
Firewall Builder,Automate branch creation,Automate the creation of branches in policies for specific traffic flows.
Firewall Builder,Schedule policy compilation,Automate the compilation of policies at scheduled intervals.
Firewall Builder,Monitor rule usage,Script the monitoring of rule usage to identify underutilized or unused rules.
Firewall Builder,Automate rule prioritization,Automate the reordering of rules based on priority or traffic patterns.
Firewall Builder,Generate compliance reports,Script the generation of compliance reports for regulatory requirements.
Firewall Builder,Automate rule comments,Automate the addition of comments to rules for better documentation.
Firewall Builder,Find and replace objects,Script the find-and-replace functionality for objects in rules.
Firewall Builder,Automate rule disabling,Automate the temporary disabling of rules for testing or troubleshooting.
Firewall Builder,Automate rule enabling,Automate the re-enabling of previously disabled rules.
Firewall Builder,Manage rule dependencies,Script the identification and management of rule dependencies.
Firewall Builder,Automate rule migration,Automate the migration of rules from one firewall platform to another.
Firewall Builder,Generate object usage reports,Script the generation of reports showing where objects are used in rules.
Firewall Builder,Automate rule tagging,Automate the tagging of rules for better categorization and searchability.
