Category,Short Description,Description
Resolver Security Incident Register,Auto-Create Incident Records,"Automatically create incident records when alerts are received from security monitoring tools or SIEM systems. This automation ensures immediate documentation of potential security events [\[1\]](https://www.resolver.com/corporate-security-software/incident-management/#:~:text=Resolver%27s%20top%2Drated%20security%20incident,%26%20improve%20reporting%20by)."
Resolver Security Incident Register,Auto-Assign Priority Levels,"Automatically assign priority levels to incidents based on predefined criteria such as impact, urgency, and affected systems. This helps in quick triage and response allocation [\[2\]](https://www.resolver.com/#:~:text=Resolver%27s%20Risk%20Intelligence%20platform,business%20impact%20within%20every)."
Resolver Security Incident Register,Auto-Route Incidents,"Automatically route incidents to appropriate response teams based on incident type, severity, or affected systems. This ensures rapid response from the right team members."
Resolver Security Incident Register,Auto-Notify Stakeholders,Send automated notifications to relevant stakeholders when new incidents are created or when critical updates occur. This keeps all parties informed of incident status and progress.
Resolver Security Incident Register,Auto-Generate Initial Response,"Automatically create initial response actions based on incident type and severity, including creating checklists and assigning initial tasks to responders."
Resolver Security Incident Register,Auto-Link Related Incidents,"Automatically identify and link related incidents based on common attributes, affected systems, or timing. This helps in identifying patterns and potential widespread issues."
Resolver Security Incident Register,Auto-Escalate Critical Incidents,Automatically escalate incidents that meet critical criteria or remain unresolved beyond SLA timeframes. This ensures high-priority incidents receive appropriate attention.
Resolver Security Incident Register,Auto-Update Risk Scores,"Automatically calculate and update risk scores based on incident details, impact assessments, and historical data [\[2\]](https://www.resolver.com/#:~:text=Resolver%27s%20Risk%20Intelligence%20platform,business%20impact%20within%20every)."
Resolver Security Incident Register,Auto-Generate Reports,Automatically generate incident reports and dashboards for different stakeholder groups based on predefined templates and schedules.
Resolver Security Incident Register,Auto-Archive Resolved Incidents,"Automatically archive resolved incidents after a specified period, maintaining proper documentation while keeping active incidents visible."
Resolver Security Incident Register,Auto-Create Investigation Tasks,"Automatically create investigation tasks based on incident type and severity, including evidence collection and analysis steps."
Resolver Security Incident Register,Auto-Populate Asset Information,Automatically populate affected asset information from CMDB or asset management systems when incidents are created.
Resolver Security Incident Register,Auto-Track SLA Compliance,Automatically monitor and track SLA compliance for incident response times and send alerts when breaches are imminent.
Resolver Security Incident Register,Auto-Generate Metrics,Automatically calculate and update incident management metrics such as mean time to resolve (MTTR) and response effectiveness.
Resolver Security Incident Register,Auto-Create Post-Incident Reviews,Automatically create post-incident review tasks and documentation requirements for resolved incidents that meet specific criteria.
Resolver Security Incident Register,Auto-Update Status,Automatically update incident status based on task completion and response actions taken. This maintains accurate progress tracking.
Resolver Security Incident Register,Auto-Categorize Incidents,"Automatically categorize incidents based on incident details, affected systems, and pattern matching with historical data."
Resolver Security Incident Register,Auto-Generate Trend Analysis,"Automatically analyze incident trends and patterns to identify recurring issues or emerging threats [\[3\]](https://www.atlassian.com/incident-management/tools#:~:text=Explore%20the%20key%20features,incident%20response%20and%20seamless)."
Resolver Security Incident Register,Auto-Link to Knowledge Base,Automatically link relevant knowledge base articles and resolution guides based on incident categorization.
Resolver Security Incident Register,Auto-Create Communication Logs,Automatically log all communications and updates related to an incident for audit and review purposes.
Resolver Security Incident Register,Auto-Schedule Reviews,Automatically schedule incident review meetings based on incident severity and organizational policies.
Resolver Security Incident Register,Auto-Generate Lessons Learned,Automatically create lessons learned documentation based on incident resolution data and post-incident reviews.
Resolver Security Incident Register,Auto-Update Asset Status,Automatically update affected asset status in CMDB or asset management systems based on incident impact.
Resolver Security Incident Register,Auto-Create Recovery Tasks,Automatically generate recovery tasks based on incident type and affected systems.
Resolver Security Incident Register,Auto-Track Costs,Automatically track and calculate incident-related costs based on response efforts and business impact.
