Category,Short Description,Description
Microsoft Remote Desktop,Secure Remote Desktop Access,Access and control remote Windows systems securely.
Microsoft Remote Desktop,File Transfer Between Devices,Transfer files between local and remote computers seamlessly.
Microsoft Remote Desktop,Unattended Access Setup,Configure remote systems for 24/7 unattended access.
Microsoft Remote Desktop,Multi-Monitor Support,Access and manage multiple monitors on remote systems simultaneously.
Microsoft Remote Desktop,Remote System Reboot,Reboot remote machines directly through the interface.
Microsoft Remote Desktop,Remote Printing Support,Print remote documents on local printers effortlessly.
Microsoft Remote Desktop,Clipboard Sharing,Share clipboard content between local and remote devices.
Microsoft Remote Desktop,Cross-Platform Access,"Access Windows systems from macOS, Android, iOS, or Linux devices."
Microsoft Remote Desktop,Remote Task Manager Access,Manage tasks and processes on remote systems using the task manager.
Microsoft Remote Desktop,Remote Application Launch,Open and manage applications on remote systems directly.
Microsoft Remote Desktop,Remote Software Installation,Install or update applications on remote systems without physical access.
Microsoft Remote Desktop,Remote System Shutdown,Shut down remote systems securely from a central location.
Microsoft Remote Desktop,Session Recording,Record remote desktop sessions for training or auditing purposes.
Microsoft Remote Desktop,Remote Audio Streaming,Stream audio from remote computers to local devices seamlessly.
Microsoft Remote Desktop,Remote User Support,Provide IT support by accessing and troubleshooting user systems remotely.
Microsoft Remote Desktop,Remote System Diagnostics,Run diagnostics on remote systems to troubleshoot performance issues.
Microsoft Remote Desktop,Secure File Sharing,Share files securely during remote desktop sessions.
Microsoft Remote Desktop,Remote File Synchronization,Automatically synchronize files between local and remote systems.
Microsoft Remote Desktop,Wake-on-LAN Functionality,Wake up remote devices using Wake-on-LAN technology.
Microsoft Remote Desktop,Remote System Lock,Lock remote systems to prevent unauthorized access during sessions.
Microsoft Remote Desktop,Remote Network Configuration,Configure and troubleshoot network settings on remote systems.
Microsoft Remote Desktop,Remote System Updates,Apply operating system updates to remote devices remotely.
Microsoft Remote Desktop,Remote Application Deployment,Deploy applications to multiple remote systems simultaneously.
Microsoft Remote Desktop,Remote Antivirus Scanning,Run antivirus scans on remote systems to detect and remove threats.
Microsoft Remote Desktop,Remote Disk Cleanup,Free up storage by performing disk cleanup on remote systems.
Microsoft Remote Desktop,Remote Event Log Access,Access and review system event logs on remote devices.
Microsoft Remote Desktop,Remote Firewall Configuration,Configure and manage firewall settings on remote systems.
Microsoft Remote Desktop,Remote Driver Updates,Update drivers on remote systems without requiring on-site access.
Microsoft Remote Desktop,Remote RAID Configuration,Configure RAID setups on remote systems for data redundancy.
Microsoft Remote Desktop,Remote Power Management,Manage power settings on remote systems to conserve energy.
Microsoft Remote Desktop,Remote Patch Management,Apply critical patches and updates to remote systems to ensure security.
Microsoft Remote Desktop,Remote Compliance Audits,Audit remote systems to ensure compliance with organizational policies.
