Category,Short Description,Description
Cisco Meraki Dashboard,Automated Network Provisioning,Automate the provisioning of new networks in the Cisco Meraki Dashboard for streamlined deployment.
Cisco Meraki Dashboard,Bulk Device Configuration,"Automate the bulk configuration of Meraki devices, such as firewalls, switches, and access points, across multiple networks."
Cisco Meraki Dashboard,VLAN Configuration Automation,Script the creation and management of VLANs across multiple Meraki switches.
Cisco Meraki Dashboard,SSID Configuration Automation,"Automate the creation and update of SSIDs, including security settings and traffic shaping policies."
Cisco Meraki Dashboard,Firmware Update Scheduling,Script the scheduling of firmware updates to ensure devices are up to date without manual intervention.
Cisco Meraki Dashboard,Device Health Monitoring,Automate the monitoring of device health and generate alerts for offline or degraded devices.
Cisco Meraki Dashboard,Traffic Analysis Reporting,Automate the generation of traffic reports to analyze bandwidth usage and application performance.
Cisco Meraki Dashboard,Bulk Client Blocking,Script the blocking of multiple clients from the network based on MAC address or IP address.
Cisco Meraki Dashboard,Guest Network Automation,Automate the creation and configuration of guest Wi-Fi networks with predefined settings.
Cisco Meraki Dashboard,Bandwidth Throttling Automation,Script bandwidth throttling rules for specific applications or users across multiple networks.
Cisco Meraki Dashboard,Real-Time Alerts for Device Status,"Automate the configuration of alerts for device status changes, such as offline or rebooted devices."
Cisco Meraki Dashboard,Site-to-Site VPN Configuration,Automate the setup of site-to-site VPN connections between multiple networks.
Cisco Meraki Dashboard,Network-wide Device Tagging,Automate the tagging of devices for better organization and policy application.
Cisco Meraki Dashboard,Custom Dashboard Creation,Script the creation of custom dashboards tailored to specific organizational needs.
Cisco Meraki Dashboard,Application Performance Monitoring,Automate the monitoring of application performance across all networks.
Cisco Meraki Dashboard,Bulk Device Reboot,Automate scheduled reboots for multiple Meraki devices across networks.
Cisco Meraki Dashboard,Security Alert Configuration,"Script the creation of alerts for security events, such as failed logins or unauthorized access attempts."
Cisco Meraki Dashboard,Access Point Channel Optimization,Automate the optimization of access point channels to reduce interference and improve Wi-Fi performance.
Cisco Meraki Dashboard,Bulk SSID Removal,Automate the removal of SSIDs from multiple networks to maintain a streamlined wireless environment.
Cisco Meraki Dashboard,Network Inventory Reporting,Automate the generation of inventory reports for all Meraki devices across networks.
