Category,Short Description,Description
Zendesk,Auto-Assign Tickets to Agents,"Automatically assign tickets to the appropriate agent based on skills, department, or priority."
Zendesk,Notify on SLA Breach,Send automated notifications to agents and managers when an SLA is about to breach or has breached.
Zendesk,Auto-Close Resolved Tickets,"Automatically close tickets that have been in the ""Resolved"" status for a specified number of days."
Zendesk,Escalate High-Priority Tickets,Automatically escalate tickets with a high priority to senior agents or managers.
Zendesk,Auto-Tag Tickets with Keywords,Automatically add relevant tags to tickets based on keywords in the ticket subject or description.
Zendesk,Notify Customers of Ticket Updates,Send automated email notifications to customers when their ticket status or priority changes.
Zendesk,Reopen Tickets on Customer Response,"Automatically reopen tickets when a customer replies to a ticket that is in the ""Solved"" status."
Zendesk,Notify Agents of New Tickets,Send immediate notifications to agents when a new ticket is assigned to them.
Zendesk,Auto-Assign Priority to Tickets,"Assign ticket priority automatically based on the customer's profile, keywords, or other custom rules."
Zendesk,Create Problem Records from Duplicate Tickets,Automatically create a problem record when multiple tickets with the same issue are identified.
Zendesk,Notify on VIP Customer Tickets,Send automated notifications to agents and managers when a VIP customer submits a ticket.
Zendesk,Auto-Create Tickets from Emails,Automatically convert customer emails sent to a support address into Zendesk tickets.
Zendesk,Assign Tickets Based on Office Hours,Automatically assign tickets to on-call agents during non-business hours.
Zendesk,Send Satisfaction Surveys After Resolution,Automatically send customer satisfaction surveys after a ticket is resolved.
Zendesk,Generate Weekly Ticket Reports,"Automate the generation of weekly reports summarizing ticket activity, resolutions, and performance metrics."
Zendesk,Auto-Assign Tickets to Groups,Automatically assign tickets to specific groups based on the ticket's category or subject.
Zendesk,Notify on Ticket Escalation,Send automated notifications to agents and managers when a ticket is escalated.
Zendesk,Auto-Categorize Tickets,Automatically categorize tickets based on keywords in the subject or description.
Zendesk,Create Child Tickets for Large Requests,Automatically create child tickets for larger tasks or requests that require multiple agents.
Zendesk,Notify on Outdated Tickets,Send reminders to agents about tickets that have been open for a long time without updates.
Zendesk,Auto-Create Knowledge Base Articles,Automatically generate knowledge base articles from resolved tickets with detailed and reusable solutions.
Zendesk,Notify Customers of Scheduled Downtime,Send automated email notifications to customers about upcoming scheduled downtime.
Zendesk,Auto-Assign Tickets Based on Language,Automatically route tickets to agents or groups based on the language detected in the ticket.
Zendesk,Notify on Tickets Without Response,Send reminders to agents about tickets that have not received an initial response within a set SLA time.
Zendesk,Auto-Resolve Duplicate Tickets,Automatically resolve duplicate tickets by linking them to a primary ticket.
Zendesk,Update Ticket Status Based on Conditions,"Automatically update ticket status based on predefined conditions, such as time elapsed or customer replies."
Zendesk,Schedule Ticket Follow-Ups,"Automatically create follow-up tasks or reminders for tickets marked as ""Pending."""
Zendesk,Monitor Agent Productivity,"Automate tracking of agent productivity metrics, such as ticket resolution time and number of tickets handled."
Zendesk,Notify on SLA Achievement,Send automated notifications to agents when they achieve SLA targets for ticket resolution.
Zendesk,Auto-Assign Tickets for Specific Products,Automatically assign tickets to product-specific support teams based on the ticket's details.
Zendesk,Archive Old Tickets,Automatically archive tickets that have been closed for a specified period.
Zendesk,Send Post-Implementation Follow-Ups,Automatically create follow-up tickets after implementing changes or resolving major incidents.
Zendesk,Notify Agents of Ticket Feedback,Automatically send agents the feedback received from customers on resolved tickets.
Zendesk,Auto-Assign Tickets During Holidays,Automatically assign tickets to agents working during holidays or non-business hours.
Zendesk,Generate SLA Violation Reports,Create automated reports summarizing SLA violations and their causes.
Zendesk,Notify on Ticket Priority Changes,Send notifications to agents and managers when a ticket's priority is updated.
Zendesk,Auto-Assign Onboarding Tasks,Automatically create and assign onboarding tickets for new employees or customers.
Zendesk,Generate Daily Activity Reports,Automate the creation of daily reports summarizing ticket activity and resolutions.
Zendesk,Notify on High-Traffic Ticket Categories,Send alerts when certain ticket categories receive a high volume of requests within a short period.
Zendesk,Auto-Notify on Customer Complaints,Automatically notify managers when a ticket is flagged as a customer complaint.
Zendesk,Monitor Agent SLA Adherence,Automate the tracking and reporting of agent adherence to SLA policies.
