Category,Short Description,Description
Spiceworks,Auto-Assign Tickets to Technicians,Automatically assign incoming tickets to the appropriate technician based on the ticket category or priority.
Spiceworks,Notify on SLA Breach,Send automated notifications to technicians and managers when an SLA is about to breach or has breached.
Spiceworks,Auto-Close Resolved Tickets,"Automatically close tickets that have been in the ""Resolved"" state for a specified number of days."
Spiceworks,Escalate Overdue Tickets,Automatically escalate tickets that exceed SLA time to higher-level support teams or managers.
Spiceworks,Auto-Assign Priority to Tickets,Automatically set ticket priority based on keywords in the subject or description.
Spiceworks,Notify Users of Ticket Updates,Automatically notify users when their ticket status or priority changes.
Spiceworks,Reopen Tickets on User Response,Automatically reopen tickets when a user responds to a closed or resolved ticket.
Spiceworks,Notify on High-Priority Tickets,Send alerts to technicians and managers when high-priority tickets are logged.
Spiceworks,Auto-Create Tickets from Emails,Automatically generate tickets from emails sent to the support mailbox.
Spiceworks,Assign Tickets Based on Technician Skills,Automatically route tickets to technicians with the required skills for resolving the issue.
Spiceworks,Send Satisfaction Surveys After Resolution,Automatically send customer satisfaction surveys to users after their tickets are resolved.
Spiceworks,Generate Weekly SLA Reports,Automate the creation and distribution of weekly SLA performance reports for stakeholders.
Spiceworks,Auto-Categorize Tickets,Automatically categorize tickets based on keywords in the ticket description or predefined rules.
Spiceworks,Notify on Major Incidents,Automatically notify all impacted users and stakeholders when a major incident is logged.
Spiceworks,Monitor Technician Workload,Automatically track and report technician workloads to ensure even distribution of tasks.
Spiceworks,Notify on VIP User Tickets,Send automated notifications to technicians when a ticket is submitted by a VIP user.
Spiceworks,Archive Old Tickets,Automatically archive tickets that have been closed for a specified period of time.
Spiceworks,Auto-Resolve Duplicate Tickets,Automatically resolve duplicate tickets by linking them to the original ticket.
Spiceworks,Notify on Ticket Escalation,Send alerts to technicians and managers whenever a ticket is escalated.
Spiceworks,Assign Tickets During After-Hours,Automatically assign tickets to on-call technicians for after-hours requests.
Spiceworks,Create Problem Records from Repeated Tickets,Automatically create a problem record when multiple tickets with the same issue are logged.
Spiceworks,Auto-Close Tickets Without User Response,Automatically close tickets if the user does not respond within a specified period after a resolution is provided.
Spiceworks,Generate Daily Ticket Reports,"Automate the creation of daily reports summarizing ticket activity, resolutions, and pending issues."
Spiceworks,Notify Users of Scheduled Maintenance,Automatically notify users about planned maintenance windows through email or portal alerts.
Spiceworks,Auto-Assign Group Ownership,Automatically assign tickets to specific technician groups based on category or department.
Spiceworks,Monitor SLA Adherence,Automate SLA adherence tracking and notify managers of SLA violations.
Spiceworks,Auto-Tag Tickets for Reporting,Automatically tag tickets with relevant labels for easier tracking and reporting.
Spiceworks,Notify on Low Customer Satisfaction,Send alerts to managers when customer satisfaction scores fall below a defined threshold.
Spiceworks,Auto-Generate Knowledge Base Articles,Automatically create knowledge base articles from resolved tickets with detailed solutions.
Spiceworks,Create Tasks for New Employees,"Automatically generate onboarding tasks for new employees, such as account creation or hardware setup."
Spiceworks,Notify on High-Traffic Categories,Send alerts when certain ticket categories receive a high volume of requests within a short period.
Spiceworks,Update Tickets on Dependency Changes,Automatically update ticket status when dependent tasks or tickets are completed.
Spiceworks,Monitor Asset Warranty Expiry,Automatically notify the asset management team when an asset's warranty is about to expire.
Spiceworks,Escalate VIP Tickets,Automatically escalate tickets submitted by VIP users to higher-priority queues.
Spiceworks,Assign Tickets Based on Location,Automatically route tickets to technicians based on the user's location.
Spiceworks,Generate Monthly Performance Dashboards,Automate the creation of performance dashboards summarizing key metrics for the month.
Spiceworks,Notify on Outdated Knowledge Articles,Send reminders to update or archive knowledge base articles that have not been reviewed for a long time.
Spiceworks,Monitor Integration Failures,Automatically track failures in third-party integrations and generate alerts or tickets for investigation.
Spiceworks,Notify on Critical Asset Downtime,Automatically send alerts when critical assets experience downtime or performance degradation.
Spiceworks,Auto-Assign Change Requests,Automatically assign change requests to the appropriate change manager or team based on the request type.
Spiceworks,Send SLA Achievement Alerts,Notify technicians when they successfully resolve tickets within SLA timelines.
Spiceworks,Auto-Categorize Change Requests,Automatically categorize change requests based on keywords or related services.
Spiceworks,Generate Asset Inventory Reports,Automate the creation of detailed asset inventory reports for IT teams.
Spiceworks,Notify on License Expiry,Automatically notify relevant teams when software licenses are nearing their expiration date.
Spiceworks,Schedule Recurring Tasks,Automatically create recurring tasks for routine maintenance or audits.
Spiceworks,Auto-Assign Tickets for New Hardware,Automatically assign requests related to new hardware setup to the appropriate technicians.
Spiceworks,Monitor Unassigned Tickets,Automatically track unassigned tickets and notify managers if they remain unassigned for a specified time.
Spiceworks,Generate Ticket Trend Analysis,Automate the analysis of ticket trends over time and generate reports for management.
Spiceworks,Notify on Failed Scheduled Jobs,Automatically alert administrators when scheduled jobs fail to execute properly.
Spiceworks,Monitor Network Downtime,Automatically create tickets or send alerts when network downtime is detected.
Spiceworks,Auto-Update Fields in Tickets,Automatically update specific fields in tickets based on triggers or conditions.
Spiceworks,Notify on Unauthorized Access Attempts,Automatically alert security teams when unauthorized access attempts are detected in the system.
Spiceworks,Auto-Assign Tickets for Software Issues,Automatically route software-related tickets to specific technicians or groups.
Spiceworks,Generate Compliance Reports,Automate the creation of compliance reports for audits or regulatory requirements.
Spiceworks,Notify Users of Agent Assignments,Automatically notify users when a technician is assigned to their ticket.
Spiceworks,Auto-Renew Expiring Contracts,"Automatically renew service contracts that are nearing expiry, based on predefined rules."
Spiceworks,Auto-Create Child Tickets,Automatically create child tickets for larger requests that require multiple tasks to be completed.
Spiceworks,Notify on SLA Timer Resets,Send notifications when SLA timers are reset due to ticket status changes.
Spiceworks,Auto-Assign Onboarding Tasks,Automatically create and assign onboarding tasks for new employees.
Spiceworks,Monitor Disk Space Usage,Automatically generate alerts or tickets when server disk space usage exceeds predefined thresholds.
Spiceworks,Notify on Major Incident Resolution,Send automated notifications to all stakeholders when a major incident is resolved.
Spiceworks,Escalate Tickets for Negative Feedback,Automatically escalate tickets that receive negative customer satisfaction feedback.
Spiceworks,Monitor API Usage Limits,Automatically generate alerts when API usage approaches predefined thresholds.
Spiceworks,Auto-Create Tickets for Social Media Queries,Automatically generate tickets for customer queries posted on social media platforms.
