Category,Short Description,Description
OSSEC,Detect Failed Login Attempts,"Monitor system authentication logs for multiple failed login attempts within a specified time window. Script can automatically block the source IP and send alerts to administrators [\[1\]](https://www.siberoloji.com/understanding-ossec-an-open-source-host-based-intrusion-detection-system-hids/#:~:text=By%20analyzing%20these%20logs%2C,user%20behavior%2C%20and%20unusual)."
OSSEC,File Integrity Monitoring,"Monitor critical system files and directories for unauthorized modifications. Automatically generate alerts and detailed reports when changes are detected [\[2\]](https://signoz.io/comparisons/network-security-monitoring-tools/#:~:text=File%20Integrity%20Monitoring%3A%20OSSEC,or%20unauthorized%20modifications.%20Log)."
OSSEC,Rootkit Detection,"Scan the system periodically for signs of rootkit infection by checking for hidden processes and modified system files. Alert administrators and initiate containment procedures when detected [\[3\]](https://paycommission.gov.ie/HomePages/025382/InstantOssecHostBasedIntrusionDetectionSystem.pdf#:~:text=Proactive%20threat%20prevention%3A%20The,attacks%20before%20they%20cause)."
OSSEC,Log Analysis Automation,"Analyze system logs across multiple servers to identify patterns of suspicious activity. Correlate events and generate comprehensive security reports [\[4\]](https://smallbizepp.com/ossec-hids/#:~:text=OSSEC%20performs%20log%2Dbased%20intrusion,and%20mitigating%20security%20threats)."
OSSEC,Windows Registry Monitoring,"Monitor Windows registry for unauthorized modifications that could indicate malware activity or system compromise. Generate alerts for suspicious changes [\[5\]](https://smallbizepp.com/ossec-hids/#:~:text=OSSEC%20tracks%20changes%20in,and%20security%20of%20Windows)."
OSSEC,Compliance Audit Automation,"Automatically generate compliance reports for PCI-DSS and HIPAA requirements by analyzing system configurations and security events [\[6\]](https://www.ossec.net/ossec-pci-dss-compliance/#:~:text=Our%20OSSEC%20PCI%20DSS,Some%20of%20these%20requirements)."
OSSEC,System Configuration Changes,"Track and alert on unauthorized changes to system configuration files. Maintain audit trail of all modifications for compliance purposes [\[7\]](https://testrigor.com/blog/pci-compliance/#:~:text=PCI%20DSS%20consists%20of,organizations%20are%20PCI%20compliant.)."
OSSEC,Malware Detection,"Monitor system behavior and file changes that indicate potential malware infection. Trigger automated response actions when malicious activity is detected [\[8\]](https://www.controlcase.com/what-are-the-12-requirements-of-pci-dss-compliance/#:~:text=The%2012%20requirements%20of,DSS%20Requirement%202%3A%20Do)."
OSSEC,Access Control Monitoring,"Track and analyze access attempts to sensitive files and directories. Alert on unauthorized access patterns [\[9\]](https://www.plumvoice.com/resources/blog/hipaa-pci-compliance-guide/#:~:text=Two%20of%20the%20most,HIPAA%20standards%20for%20patient)."
OSSEC,Network Connection Monitoring,"Monitor and log suspicious network connections, particularly to known malicious IP addresses or unusual ports [\[10\]](https://www.vanta.com/resources/the-roles-of-pci-dss-and-hipaa-compliance#:~:text=PCI%20and%20HIPAA%20are,practices%20you%20need%20to)."
OSSEC,Privilege Escalation Detection,"Detect attempts to escalate privileges on the system through monitoring of sudo logs and user permission changes [\[11\]](https://www.ossec.net/docs/manual/non-technical-overview.html#:~:text=Compliance%20Requirements%C2%B6%E2%80%8B%E2%80%8B%20OSSEC%20helps,detect%20and%20alert%20on)."
OSSEC,Suspicious Process Detection,"Monitor for creation of suspicious processes or unusual process behavior that could indicate compromise [\[12\]](https://www.digitalguardian.com/blog/what-audit-logging-how-it-works-why-you-need-it#:~:text=%2D%20Regulatory%20Compliance%3A%20Various,HIPAA%2C%20SOX%2C%20PCI%20DSS%2C)."
OSSEC,Database Activity Monitoring,"Track and analyze database access logs for unauthorized queries or suspicious patterns of activity [\[13\]](https://www.digitalguardian.com/blog/what-audit-logging-how-it-works-why-you-need-it#:~:text=%2D%20IT%20Forensics%3A%20Audit,incident%20happened%2C%20and%20take)."
OSSEC,Web Server Security,"Monitor web server logs for common attack patterns such as SQL injection or cross-site scripting attempts [\[14\]](https://www.digitalguardian.com/blog/what-audit-logging-how-it-works-why-you-need-it#:~:text=%2D%20Legal%20Evidence%3A%20In,user%20actions%20and%20system)."
OSSEC,Email Server Monitoring,"Track email server logs for spam campaigns, unauthorized relay attempts, or suspicious attachment patterns [\[15\]](https://www.digitalguardian.com/blog/what-audit-logging-how-it-works-why-you-need-it#:~:text=%2D%20Operational%20Efficiency%3A%20Audit,processes%20and%20enhance%20operational)."
OSSEC,FTP Activity Monitoring,"Monitor FTP server logs for unauthorized access attempts and suspicious file transfers [\[16\]](https://bluecoreresearch.com/blog/what-is-the-difference-between-auditing-and-monitoring/#:~:text=Monitoring%20can%20also%20refer,is%20the%20analysis%20performed)."
OSSEC,SSH Connection Monitoring,"Track SSH connections and alert on suspicious patterns such as connection attempts from unusual locations [\[17\]](https://bluecoreresearch.com/blog/what-is-the-difference-between-auditing-and-monitoring/#:~:text=Purpose%20%7C%20Ensure%20systems,for%20security%20and%20compliance)."
OSSEC,System Resource Monitoring,"Monitor system resource usage and alert on unusual patterns that could indicate compromise [\[18\]](https://bluecoreresearch.com/blog/what-is-the-difference-between-auditing-and-monitoring/#:~:text=Unlike%20IT%20auditing%2C%20which,switches%2C%20routers%2C%20firewalls%2C%20and)."
OSSEC,Firewall Log Analysis,"Analyze firewall logs for patterns of attempted intrusion or unusual traffic patterns [\[4\]](https://smallbizepp.com/ossec-hids/#:~:text=OSSEC%20performs%20log%2Dbased%20intrusion,and%20mitigating%20security%20threats)."
OSSEC,Application Error Monitoring,"Track application error logs for signs of attempted exploitation or application compromise [\[19\]](https://smallbizepp.com/ossec-hids/#:~:text=File%20integrity%20monitoring%20%28FIM%29,that%20any%20tampering%20with)."
OSSEC,User Account Management,"Monitor creation, modification, and deletion of user accounts to detect unauthorized changes [\[20\]](https://smallbizepp.com/ossec-hids/#:~:text=OSSEC%20provides%20real%2Dtime%20alerts,they%20can%20cause%20significant)."
OSSEC,Service Status Monitoring,"Track system service status changes and alert on unauthorized service stops or starts [\[5\]](https://smallbizepp.com/ossec-hids/#:~:text=OSSEC%20tracks%20changes%20in,and%20security%20of%20Windows)."
OSSEC,File Permission Changes,"Monitor and alert on unauthorized changes to file permissions that could indicate compromise [\[21\]](https://smallbizepp.com/ossec-hids/#:~:text=OSSEC%E2%80%99s%20centralized%20policy%20enforcement,compliance%20with%20organizational%20security)."
OSSEC,Scheduled Task Monitoring,"Track creation and modification of scheduled tasks to detect potentially malicious automation [\[22\]](https://smallbizepp.com/ossec-hids/#:~:text=%2D%20Scalability%3A%20OSSEC%20can,it%20suitable%20for%20diverse)."
OSSEC,Network Share Monitoring,"Monitor access to network shares and alert on suspicious mounting or access patterns [\[23\]](https://tolumichael.com/ossec-vs-suricata-a-complete-analysis/#:~:text=%2D%20OSSEC%3A%20Ideal%20for,and%20protecting%20against%20host%2Dlevel)."
OSSEC,USB Device Monitoring,"Track USB device connections and alert on unauthorized device usage [\[24\]](https://smallbizepp.com/ossec-hids/#:~:text=OSSEC%20is%20a%20powerful,registry%20monitoring%2C%20among%20others.)."
OSSEC,Registry Key Monitoring,"Monitor specific Windows registry keys for modifications that could indicate compromise [\[25\]](https://www.netmaker.io/resources/file-integrity-monitoring#:~:text=File%20Integrity%20Monitoring%2C%20or,to%20make%20sure%20nothing)."
OSSEC,System Patch Monitoring,"Track system patch levels and alert on missing critical security updates [\[26\]](https://www.netmaker.io/resources/file-integrity-monitoring#:~:text=The%20baseline%20is%20essential,baseline%2C%20or%20if%20a)."
OSSEC,Audit Log Monitoring,"Monitor system audit logs for signs of tampering or unauthorized access [\[27\]](https://documentation.wazuh.com/current/getting-started/use-cases/file-integrity.html#:~:text=File%20integrity%20monitoring%20and,or%20modifications%20are%20identified.)."
OSSEC,DNS Query Monitoring,"Track DNS queries for signs of data exfiltration or communication with malicious domains [\[28\]](https://www.qualys.com/apps/file-integrity-monitoring/#:~:text=Qualys%20FIM%20helps%20reduce,PCI%20DSS%2C%20HIPAA%2C%20and)."
OSSEC,Proxy Log Analysis,"Analyze proxy server logs for signs of policy violations or malicious web traffic [\[29\]](https://www.netmaker.io/resources/file-integrity-monitoring#:~:text=or%20system%20instability.%20For,to%20any%20unauthorized%20changes%2C)."
OSSEC,VPN Connection Monitoring,"Monitor VPN connections for suspicious patterns or unauthorized access attempts [\[30\]](https://documentation.wazuh.com/current/getting-started/use-cases/file-integrity.html#:~:text=for%20the%20response%20performed.,remediated%20in%20a%20timely)."
OSSEC,Password Policy Compliance,"Track password changes and enforce password policy compliance through monitoring [\[31\]](https://www.ossec.net/docs/docs/manual/monitoring/index.html#:~:text=Inside%20OSSEC%20we%20call,system%20errors%20using%20the)."
OSSEC,File Access Patterns,"Monitor patterns of file access to detect potential data exfiltration attempts [\[32\]](https://www.academia.edu/8343225/Log_Analysis_using_OSSEC#:~:text=Log%20Analysis%20using%20OSSEC,including%20log%20collection%2C%20analysis%2C)."
OSSEC,System Backup Monitoring,"Track system backup operations and alert on failures or unauthorized modifications [\[33\]](https://smallbizepp.com/ossec-hids/#:~:text=Yes%2C%20OSSEC%20can%20be,deeper%20insights%20into%20security)."
OSSEC,Remote Access Monitoring,"Monitor remote access attempts and alert on suspicious patterns [\[34\]](https://trunc.org/ossec/ossec-for-website-security-logs-integritychecking#:~:text=/var/ossec/logs/%20%7C%20Stores%20logs%2C,system%20logs%20for%20troubleshooting)."
OSSEC,Network Protocol Analysis,"Analyze network protocols for signs of exploitation or abuse [\[35\]](https://www.wiz.io/academy/rootkits#:~:text=unauthorized%20privilege%20escalation%2C%20or,kernel%20integrity%20monitoring%3A%20Rootkits)."
OSSEC,Authentication Log Analysis,"Monitor authentication logs across multiple systems for signs of credential abuse [\[36\]](https://www.wiz.io/academy/rootkits#:~:text=deep%20within%20systems%20and,kernel%20integrity%20monitoring%20ensures)."
OSSEC,File Deletion Monitoring,"Track file deletions and alert on unauthorized removal of critical files [\[37\]](https://www.wiz.io/academy/rootkits#:~:text=antivirus%20software%20often%20misses.How,memory%20integrity%20checks%20to)."
OSSEC,System Command Execution,"Monitor execution of system commands for suspicious or unauthorized activity [\[38\]](https://www.wiz.io/academy/rootkits#:~:text=unauthorized%20modifications%20and%20ensure,operating%20system%20fully%20loads)."
OSSEC,Log File Integrity,"Monitor log files for signs of tampering or unauthorized modification [\[39\]](https://levelblue.com/blogs/security-essentials/rootkit-detection-techniques-and-best-practices#:~:text=%2D%20Integrity%20checking.%20The,they%E2%80%99ve%20been%20changed%20in)."
OSSEC,Network Traffic Patterns,"Analyze network traffic patterns for anomalies that could indicate compromise [\[40\]](https://www.veracode.com/security/rootkit/#:~:text=remove%20a%20rootkit%20is,completely%20rebuild%20the%20compromised)."
OSSEC,System Time Changes,"Monitor system time modifications that could indicate attempts to bypass security controls [\[41\]](https://www.wiz.io/academy/rootkits#:~:text=with%20different%20scanners%20increases,environment%20prevents%20them%20from)."
OSSEC,File Creation Monitoring,"Track file creation patterns and alert on suspicious new files [\[42\]](https://www.sentinelone.com/cybersecurity-101/cybersecurity/types-of-rootkits/#:~:text=Try%20reinstalling%20your%20operating,security%20solutions%20with%20rootkit)."
OSSEC,Group Policy Changes,"Monitor changes to group policies and alert on unauthorized modifications [\[1\]](https://www.siberoloji.com/understanding-ossec-an-open-source-host-based-intrusion-detection-system-hids/#:~:text=By%20analyzing%20these%20logs%2C,user%20behavior%2C%20and%20unusual)."
OSSEC,Registry Permission Changes,"Track changes to Windows registry permissions that could indicate compromise [\[2\]](https://signoz.io/comparisons/network-security-monitoring-tools/#:~:text=File%20Integrity%20Monitoring%3A%20OSSEC,or%20unauthorized%20modifications.%20Log)."
OSSEC,Service Account Activity,"Monitor service account usage and alert on suspicious patterns [\[3\]](https://paycommission.gov.ie/HomePages/025382/InstantOssecHostBasedIntrusionDetectionSystem.pdf#:~:text=Proactive%20threat%20prevention%3A%20The,attacks%20before%20they%20cause)."
OSSEC,Network Port Monitoring,"Track open ports and alert on unauthorized port usage [\[43\]](https://www.ossec.net/docs/docs/manual/non-technical-overview.html#:~:text=OSSEC%20helps%20customers%20meet,on%20unauthorized%20file%20system)."
OSSEC,System Startup Monitoring,Monitor system startup processes and detect unauthorized additions [\[44\]](https://www.youtube.com/watch?v=SpFcwiXCWL0#:~:text=Perform%20real%2Dtime%20intrusion%20detection%20with).
OSSEC,Memory Usage Analysis,"Track system memory usage patterns for signs of compromise or resource abuse [\[45\]](https://isc.sans.edu/diary/30968#:~:text=One%20of%20the%20features,When%20a%20specific%20rule)."
OSSEC,Process Creation Patterns,"Monitor process creation patterns for signs of malicious activity [\[46\]](https://isc.sans.edu/diary/30968#:~:text=triggered%2C%20OSSEC%20can%20execute,This%20feature%20enhances%20the)."
OSSEC,File Extension Monitoring,"Track files with suspicious extensions that could indicate malware [\[47\]](http://sgros.blogspot.com/2012/08/about-active-responses-in-ossec.html#:~:text=The%20second%20part%20of,directly%20within%20%3Cossec_config%3E%20top%2Dlevel)."
OSSEC,Registry Value Changes,"Monitor specific registry values for unauthorized modifications [\[48\]](https://documentation.wazuh.com/current/user-manual/capabilities/active-response/index.html#:~:text=Stateless%20active%20responses%20are,after%20a%20period%20of)."
OSSEC,Network Interface Changes,"Track changes to network interface configurations [\[49\]](https://documentation.wazuh.com/current/user-manual/capabilities/active-response/index.html#:~:text=In%20addition%2C%20the%20module,network%20access%20and%20delete)."
OSSEC,System Driver Monitoring,"Monitor system drivers for unauthorized additions or modifications [\[50\]](http://sgros.blogspot.com/2012/08/about-active-responses-in-ossec.html#:~:text=active%20response%20is%20triggered,be%20used%20to%20dynamically)."
OSSEC,Scheduled Job Analysis,"Track and analyze scheduled jobs for suspicious patterns [\[51\]](https://azuremarketplace.microsoft.com/en-us/marketplace/apps/bcloudllc1671615348068.ossec1?tab=overview#:~:text=%2D%20Centralized%20management%20for,and%20reporting%20across%20multiple)."
OSSEC,File Ownership Changes,"Monitor changes to file ownership that could indicate compromise [\[6\]](https://www.ossec.net/ossec-pci-dss-compliance/#:~:text=Our%20OSSEC%20PCI%20DSS,Some%20of%20these%20requirements)."
OSSEC,System Call Monitoring,"Track suspicious system calls that could indicate exploitation [\[7\]](https://testrigor.com/blog/pci-compliance/#:~:text=PCI%20DSS%20consists%20of,organizations%20are%20PCI%20compliant.)."
OSSEC,Network Protocol Violations,"Monitor for violations of expected network protocol behavior [\[8\]](https://www.controlcase.com/what-are-the-12-requirements-of-pci-dss-compliance/#:~:text=The%2012%20requirements%20of,DSS%20Requirement%202%3A%20Do)."
OSSEC,Registry Key Permissions,"Track changes to registry key permissions for unauthorized modifications [\[9\]](https://www.plumvoice.com/resources/blog/hipaa-pci-compliance-guide/#:~:text=Two%20of%20the%20most,HIPAA%20standards%20for%20patient)."
OSSEC,Service Configuration Changes,"Monitor service configurations for unauthorized modifications [\[10\]](https://www.vanta.com/resources/the-roles-of-pci-dss-and-hipaa-compliance#:~:text=PCI%20and%20HIPAA%20are,practices%20you%20need%20to)."
OSSEC,File Access Times,"Track file access patterns for suspicious activity [\[11\]](https://www.ossec.net/docs/manual/non-technical-overview.html#:~:text=Compliance%20Requirements%C2%B6%E2%80%8B%E2%80%8B%20OSSEC%20helps,detect%20and%20alert%20on)."
OSSEC,System Policy Violations,"Monitor for violations of system security policies [\[12\]](https://www.digitalguardian.com/blog/what-audit-logging-how-it-works-why-you-need-it#:~:text=%2D%20Regulatory%20Compliance%3A%20Various,HIPAA%2C%20SOX%2C%20PCI%20DSS%2C)."
