Category,Short Description,Description
InMotion Hosting,Automate website backups,Schedule automated backups for website files and databases to ensure data recovery in case of accidental loss or errors.
InMotion Hosting,Regular database backups,"Automate regular database backups (daily, weekly, or monthly) and store them securely on the server or cloud storage."
InMotion Hosting,Website uptime monitoring,Use scripts to monitor website uptime and send alerts if the site goes offline.
InMotion Hosting,SSL certificate renewal,Automate the renewal of SSL certificates before they expire to maintain secure HTTPS connections.
InMotion Hosting,Email account creation,Automate the creation of new email accounts for employees or users in the InMotion Hosting environment.
InMotion Hosting,Domain renewal reminders,Automate reminders for domain renewals or renew them automatically to avoid expiration.
InMotion Hosting,DNS record updates,"Automate DNS updates, including changes to A, CNAME, TXT, and other records."
InMotion Hosting,Database optimization,Automate the optimization of databases by cleaning up unused data and optimizing tables for better performance.
InMotion Hosting,WordPress plugin updates,"Automate updates for WordPress plugins to ensure security, functionality, and compatibility with the latest versions."
InMotion Hosting,WordPress theme updates,Automate theme updates to keep WordPress websites secure and up-to-date.
InMotion Hosting,Server performance monitoring,"Use scripts to monitor server performance metrics like CPU, memory, and disk usage, and send alerts when thresholds are exceeded."
InMotion Hosting,Malware scanning,Automate malware scans to detect and remove malicious code or files on the server.
InMotion Hosting,File permission corrections,Automate the correction of file and folder permissions to secure the website and prevent unauthorized access.
InMotion Hosting,Create staging environments,Automate the creation of staging environments for testing website updates and changes before deploying them live.
InMotion Hosting,Automated file cleanup,Use scripts to delete unnecessary or old files from the hosting environment to free up storage space.
InMotion Hosting,Error log monitoring,Automate monitoring of error logs and send alerts for specific errors requiring immediate action.
InMotion Hosting,Email forwarder setup,Automate the setup of email forwarders to redirect messages from one email account to another.
InMotion Hosting,Configure email autoresponders,Automate the configuration of email autoresponders for specific email accounts.
InMotion Hosting,Backup restoration,Automate the restoration of website backups to recover from data loss or accidental deletions.
InMotion Hosting,Subdomain creation,"Automate the creation of subdomains for testing, projects, or separate sections of a website."
InMotion Hosting,Domain redirection,Automate the redirection of domains or subdomains to specific URLs.
InMotion Hosting,Disk space monitoring,Use scripts to monitor disk space usage and send alerts if storage utilization exceeds a set threshold.
InMotion Hosting,Bandwidth tracking,Automate bandwidth usage tracking and send notifications when usage exceeds predefined limits.
InMotion Hosting,Schedule cron jobs,"Automate the creation and management of cron jobs to run scheduled tasks like backups, updates, or maintenance scripts."
InMotion Hosting,WordPress installation,Automate the installation of WordPress for new websites hosted on InMotion Hosting.
InMotion Hosting,Configure WordPress multisite,Automate the setup of WordPress multisite installations to manage multiple websites under a single network.
InMotion Hosting,Clear website cache,Automate cache clearing to ensure that website updates are immediately reflected.
InMotion Hosting,Detect broken links,Use scripts to detect broken links on websites and automatically set up 301 redirects to fix them.
InMotion Hosting,Generate XML sitemaps,Automate the creation of XML sitemaps and upload them to search engines for better indexing.
