Category,Short Description,Description
SolarWinds Server & Application Monitor,Monitor Server Health Metrics,"Track CPU, memory, and disk usage to ensure server performance."
SolarWinds Server & Application Monitor,Application Performance Monitoring,Monitor application response times and performance metrics.
SolarWinds Server & Application Monitor,Real-Time Alert Notifications,Receive instant alerts for server or application performance issues.
SolarWinds Server & Application Monitor,Monitor Virtual Machines,Track the performance and health of virtual machines.
SolarWinds Server & Application Monitor,Database Performance Monitoring,Monitor database queries and performance bottlenecks.
SolarWinds Server & Application Monitor,Monitor Cloud Applications,Track the performance of cloud-hosted applications and services.
SolarWinds Server & Application Monitor,Server Uptime Monitoring,Ensure servers remain operational with continuous uptime tracking.
SolarWinds Server & Application Monitor,Monitor Web Server Performance,Track metrics like HTTP response times and server load.
SolarWinds Server & Application Monitor,Custom Application Monitoring,Create custom monitors for proprietary or third-party applications.
SolarWinds Server & Application Monitor,Monitor Application Dependencies,Identify and monitor dependencies between applications and services.
SolarWinds Server & Application Monitor,Monitor Hardware Health,"Track hardware metrics like temperature, fan speed, and power supply."
SolarWinds Server & Application Monitor,Monitor Active Directory Performance,Ensure Active Directory services are running efficiently.
SolarWinds Server & Application Monitor,Monitor Email Servers,Track the performance of email servers like Exchange or SMTP.
SolarWinds Server & Application Monitor,Monitor Application Logs,Collect and analyze application logs for troubleshooting.
SolarWinds Server & Application Monitor,Monitor Network Latency,Track latency between servers and applications to identify bottlenecks.
SolarWinds Server & Application Monitor,Monitor Storage Performance,Track storage I/O and capacity to prevent bottlenecks.
SolarWinds Server & Application Monitor,Monitor Cloud Infrastructure,Track the performance of cloud-hosted servers and services.
SolarWinds Server & Application Monitor,Monitor Kubernetes Clusters,Track the health and performance of Kubernetes clusters.
SolarWinds Server & Application Monitor,Monitor Microservices,Ensure microservices are running efficiently and without errors.
SolarWinds Server & Application Monitor,Monitor Containerized Applications,Track the performance of containerized applications like Docker.
SolarWinds Server & Application Monitor,Monitor Web Application Performance,Track metrics like page load times and user interactions.
SolarWinds Server & Application Monitor,Monitor Middleware Performance,Track middleware like Apache Kafka or RabbitMQ for performance issues.
SolarWinds Server & Application Monitor,Monitor API Performance,Track API response times and error rates.
SolarWinds Server & Application Monitor,Monitor Server Processes,Track and manage processes running on servers.
SolarWinds Server & Application Monitor,Monitor Windows Services,Ensure critical Windows services are running without interruptions.
SolarWinds Server & Application Monitor,Monitor Linux Servers,Track performance metrics for Linux-based servers.
SolarWinds Server & Application Monitor,Monitor Server Disk Usage,Track disk space usage to prevent storage-related issues.
