Category,Short Description,Description
SQL Server Management Studio,Create New Databases,Create and configure new databases for applications or projects.
SQL Server Management Studio,Manage Database Users,"Add, modify, or remove database users and their permissions."
SQL Server Management Studio,Execute SQL Queries,"Run SQL queries to retrieve, update, or delete data from databases."
SQL Server Management Studio,Backup Databases,Create backups of databases to ensure data recovery in case of failure.
SQL Server Management Studio,Restore Databases,Restore databases from backup files to recover lost or corrupted data.
SQL Server Management Studio,Monitor Database Performance,Analyze database performance metrics to identify bottlenecks.
SQL Server Management Studio,Configure Database Security,Set up security policies and permissions to protect sensitive data.
SQL Server Management Studio,Create Stored Procedures,Write and manage stored procedures to automate database operations.
SQL Server Management Studio,Design Database Schemas,Create and modify database schemas to define table structures.
SQL Server Management Studio,Manage Indexes,"Create, modify, or delete indexes to optimize query performance."
SQL Server Management Studio,Generate Database Scripts,Generate SQL scripts for database objects like tables and views.
SQL Server Management Studio,Schedule SQL Jobs,Automate repetitive tasks by scheduling SQL Server Agent jobs.
SQL Server Management Studio,Import Data into Databases,Import data from external sources like CSV or Excel files.
SQL Server Management Studio,Export Data from Databases,Export data to external formats for reporting or analysis.
SQL Server Management Studio,Analyze Query Execution Plans,Review execution plans to optimize SQL query performance.
SQL Server Management Studio,Create Database Views,Define views to simplify complex queries and improve readability.
SQL Server Management Studio,Manage Database Connections,Configure and manage connections to multiple database servers.
SQL Server Management Studio,Audit Database Activity,Track and log database activity for compliance and security purposes.
SQL Server Management Studio,Configure Replication,Set up database replication to synchronize data across servers.
SQL Server Management Studio,Manage Database Partitions,Create and manage partitions to improve query performance on large datasets.
SQL Server Management Studio,Perform Data Migration,Migrate data between databases or servers during upgrades or transitions.
SQL Server Management Studio,Create Triggers,Define triggers to automate actions based on database events.
SQL Server Management Studio,Manage Database Roles,Assign roles to users to control access to database objects.
SQL Server Management Studio,Configure Always On Availability Groups,Set up high availability for critical databases using Always On.
SQL Server Management Studio,Monitor Server Health,"Check server health metrics like CPU, memory, and disk usage."
SQL Server Management Studio,Perform Index Rebuilding,Rebuild fragmented indexes to improve database performance.
SQL Server Management Studio,Configure Full-Text Search,Enable and manage full-text search for advanced querying capabilities.
SQL Server Management Studio,Manage Linked Servers,Configure and manage linked servers for cross-server queries.
SQL Server Management Studio,Create Temporary Tables,Use temporary tables to store intermediate results during query execution.
SQL Server Management Studio,Perform Data Cleansing,Clean and standardize data within the database for consistency.
SQL Server Management Studio,Configure Database Mirroring,Set up database mirroring for disaster recovery and high availability.
SQL Server Management Studio,Manage Database Snapshots,Create and manage snapshots for point-in-time recovery.
SQL Server Management Studio,Perform Data Encryption,Encrypt sensitive data to enhance database security.
SQL Server Management Studio,Configure Log Shipping,Set up log shipping to maintain a secondary database for failover.
SQL Server Management Studio,Manage TempDB Usage,Monitor and optimize TempDB usage to prevent performance issues.
SQL Server Management Studio,Create Scalar Functions,Define scalar functions to encapsulate reusable logic in queries.
SQL Server Management Studio,Create Table-Valued Functions,Write table-valued functions to return result sets from queries.
SQL Server Management Studio,Manage Database Collations,Configure collations to ensure consistent sorting and comparison rules.
SQL Server Management Studio,Perform Database Compression,Enable compression to reduce storage requirements for large tables.
SQL Server Management Studio,Configure Database Alerts,Set up alerts to notify administrators of critical database events.
SQL Server Management Studio,Manage Database Logs,Monitor and manage transaction logs to prevent storage issues.
SQL Server Management Studio,Perform Data Archiving,Archive old data to improve database performance and reduce storage.
SQL Server Management Studio,Configure Query Store,Enable Query Store to track query performance over time.
SQL Server Management Studio,Perform Database Tuning,Use tools like Database Engine Tuning Advisor to optimize performance.
SQL Server Management Studio,Manage Database Clusters,Configure and manage clustered SQL Server instances.
