Category,Short Description,Description
PDQ Deploy,Deploy Software Updates,Automate the deployment of software updates to ensure all systems are running the latest versions.
PDQ Deploy,Install New Applications,Automatically install new applications on target machines with preconfigured deployment packages.
PDQ Deploy,Uninstall Applications,Automate the removal of unwanted or deprecated software from devices.
PDQ Deploy,Patch Third-Party Applications,"Deploy patches for third-party applications such as Adobe Reader, Chrome, or Java."
PDQ Deploy,Schedule Recurring Deployments,"Automate recurring deployments, such as monthly updates or quarterly software rollouts."
PDQ Deploy,Monitor Deployment Status,Track and log the status of deployments to identify failures or issues.
PDQ Deploy,Deploy Custom Scripts,"Automate the execution of custom PowerShell, Batch, or VBScript scripts on target machines."
PDQ Deploy,Install Windows Updates,Deploy Windows updates to ensure devices are up to date with the latest security and performance patches.
PDQ Deploy,Restart Machines After Updates,Automatically restart machines after deploying updates or software installations.
PDQ Deploy,Deploy Drivers,Automate the deployment of updated device drivers to ensure compatibility and performance.
PDQ Deploy,Disable Unused Features,Deploy scripts to disable unused Windows features such as Cortana or OneDrive.
PDQ Deploy,Install Antivirus Software,Automate the deployment of antivirus or endpoint protection software across all systems.
PDQ Deploy,Remove Bloatware,Automate the removal of pre-installed or unnecessary applications from new devices.
PDQ Deploy,Set Desktop Backgrounds,Deploy scripts to set or enforce corporate branding as desktop wallpapers.
PDQ Deploy,Update Browser Settings,"Automate the deployment of browser configurations, such as default search engine or homepage settings."
PDQ Deploy,Deploy Printer Drivers,Automatically install or update printer drivers on target machines.
PDQ Deploy,Configure Network Settings,"Deploy scripts to configure network settings, such as DNS or proxy configurations."
PDQ Deploy,Install VPN Clients,Automate the deployment of VPN client software to enable secure remote access.
PDQ Deploy,Deploy Office Suite,Automatically deploy or update Microsoft Office or other office productivity suites.
PDQ Deploy,Remove Legacy Software,Automate the removal of outdated or unsupported software versions.
PDQ Deploy,Deploy File Permissions Changes,Deploy scripts to modify file or folder permissions across target devices.
PDQ Deploy,Configure Firewall Rules,Automate the deployment of firewall configurations to ensure a secure network environment.
PDQ Deploy,Install Development Tools,Automatically deploy tools such as Visual Studio or programming language compilers for developers.
PDQ Deploy,Enforce Password Policies,Deploy scripts to enforce password complexity or expiration policies on target systems.
PDQ Deploy,Update Firmware,Automate firmware updates for devices such as network adapters or BIOS.
PDQ Deploy,Disable USB Ports,Deploy scripts to disable USB ports on devices for security purposes.
PDQ Deploy,Configure Power Settings,Deploy energy-saving power plans or disable sleep mode on specific machines.
