Category,Short Description,Description
ManageEngine ServiceDesk Plus,Auto Ticket Creation from Emails,Automate the creation of tickets from incoming customer emails by parsing the subject and body content.
ManageEngine ServiceDesk Plus,Automatic Ticket Assignment,"Automate ticket assignment to the correct technician or team based on predefined rules, such as category or priority."
ManageEngine ServiceDesk Plus,SLA Monitoring and Alerts,Automate SLA compliance tracking and send alerts when deadlines are close to being breached.
ManageEngine ServiceDesk Plus,Ticket Escalation,Automate the escalation of tickets to higher support levels when SLA thresholds are breached.
ManageEngine ServiceDesk Plus,Auto-Categorization of Tickets,Automate categorization of tickets based on keywords in ticket descriptions or predefined rules.
ManageEngine ServiceDesk Plus,Priority Assignment,Automatically assign ticket priorities based on impact and urgency defined in the ticket details.
ManageEngine ServiceDesk Plus,Status Change Notifications,Automate notifications to customers and technicians when the status of a ticket changes.
ManageEngine ServiceDesk Plus,Auto-Closing Resolved Tickets,"Automatically close tickets after a defined period of inactivity following resolution, with a notification to the customer."
ManageEngine ServiceDesk Plus,Recurring Task Scheduling,Automate scheduling and creation of recurring maintenance or IT tasks.
ManageEngine ServiceDesk Plus,Knowledge Base Article Creation,Automate generating knowledge base articles from resolved tickets for future reference.
ManageEngine ServiceDesk Plus,Knowledge Base Review Alerts,Automate reminders for reviewing and updating outdated knowledge base articles.
ManageEngine ServiceDesk Plus,Change Request Workflow,"Automate workflows for creating, reviewing, and approving change requests."
ManageEngine ServiceDesk Plus,Approval Notifications,Automate notifications to approvers for pending service requests or change requests.
ManageEngine ServiceDesk Plus,Scheduled Maintenance Notifications,Automate sending notifications to customers and technicians about upcoming scheduled maintenance.
ManageEngine ServiceDesk Plus,Asset Discovery,Automate discovery of IT assets on the network and update the asset inventory accordingly.
ManageEngine ServiceDesk Plus,Asset Lifecycle Management,"Automate tracking of IT assets throughout their lifecycle, from procurement to decommissioning."
ManageEngine ServiceDesk Plus,Software License Tracking,Automate tracking software license usage and sending alerts for renewal deadlines.
ManageEngine ServiceDesk Plus,Hardware Warranty Management,Automate tracking hardware warranties and sending notifications before their expiration.
ManageEngine ServiceDesk Plus,User Onboarding Workflow,"Automate the onboarding process, including account creation, access provisioning, and hardware allocation for new employees."
