Category,Short Description,Description
Suricata,Detect Port Scans,Automate the identification of port scanning activities by monitoring traffic patterns for rapid sequential connections to multiple ports.
Suricata,Block Malicious IPs,Automatically block connections from IP addresses flagged as malicious by integrating Suricata with real-time threat intel feeds.
Suricata,Alert on SQL Injection Attempts,Monitor HTTP payloads to detect SQL injection attempts by identifying suspicious SQL commands embedded in HTTP requests.
Suricata,Detect Brute Force Login Attempts,"Identify multiple failed login attempts targeting services such as SSH, RDP, or FTP as potential brute force attacks."
Suricata,Identify Phishing Attacks,Detect traffic to phishing domains by integrating Suricata with regularly updated phishing domain blocklists.
Suricata,Monitor DNS Tunneling,Recognize suspicious DNS query patterns that may indicate data exfiltration through DNS tunneling techniques.
Suricata,Detect Malware Downloads,Inspect HTTP and HTTPS traffic for known malware signatures and send alerts when malicious files are downloaded.
Suricata,Block Suspicious User Agents,Detect and block HTTP requests with suspicious or unauthorized user-agent strings that may indicate bot or malware activity.
Suricata,Monitor Data Exfiltration,"Detect large outbound data transfers to unauthorized external servers, which may indicate data exfiltration."
Suricata,Identify Ransomware Traffic,"Identify traffic patterns associated with ransomware operations, such as communication with known ransomware domains or IPs."
Suricata,Block Tor Exit Node Traffic,Prevent traffic originating from Tor exit nodes by dynamically updating Suricata blocklists with known Tor IP addresses.
Suricata,Detect DDoS Attacks,Monitor for high volumes of traffic targeting specific hosts or services that may indicate distributed denial-of-service (DDoS) attacks.
Suricata,Detect ARP Spoofing Attempts,Identify ARP spoofing or poisoning attacks by detecting duplicate MAC addresses or unusual ARP traffic.
Suricata,Detect Botnet Command & Control,Identify communication between internal hosts and botnet command-and-control servers by analyzing DNS queries and HTTP traffic.
Suricata,Identify Outdated Protocol Usage,"Automatically flag and block traffic using deprecated protocols such as SMBv1, SSLv2, or Telnet to enhance security."
Suricata,Detect Cross-Site Scripting (XSS),"Monitor HTTP traffic for patterns indicative of cross-site scripting (XSS) attacks, such as malicious JavaScript in request parameters."
Suricata,Prevent Crypto Mining Activity,Detect and block network traffic to known cryptocurrency mining pools to prevent unauthorized resource usage.
Suricata,Detect DNS Amplification Attacks,Identify DNS amplification attack attempts by monitoring high-frequency DNS queries with oversized responses.
Suricata,Monitor IoT Device Behavior,Inspect traffic to and from IoT devices for unusual patterns that may indicate compromise or unauthorized activity.
Suricata,Detect SMB Exploitation Attempts,"Monitor SMB traffic for patterns indicating exploitation attempts, such as EternalBlue or other known SMB vulnerabilities."
Suricata,Monitor Bandwidth Usage,Track bandwidth consumption by individual IP addresses to identify devices hogging resources or participating in anomalous activities.
Suricata,Detect Unauthorized VPN Usage,Identify traffic patterns associated with unauthorized VPNs that may be used to bypass security policies.
