Category,Short Description,Description
Microsoft OneDrive,Automate file organization,"Automatically organize files into folders based on file type, name, or creation date using a script."
Microsoft OneDrive,Backup files to another account,Automate the process of backing up files from one OneDrive account to another for redundancy.
Microsoft OneDrive,Delete duplicate files,Identify and delete duplicate files in OneDrive to save storage space.
Microsoft OneDrive,Generate file usage reports,"Create a script to generate reports on file usage, including last accessed date and size."
Microsoft OneDrive,Share files with specific users,Automate file sharing with predefined users or groups based on folder or file criteria.
Microsoft OneDrive,Set expiration dates for shared links,Automatically set expiration dates for shared links to enhance security.
Microsoft OneDrive,Convert files to PDF,"Automate the conversion of Word, Excel, or PowerPoint files to PDF format."
Microsoft OneDrive,Sync local folder with OneDrive,Create a script to sync a local folder with OneDrive for real-time updates.
Microsoft OneDrive,Notify on file changes,Send email notifications when specific files or folders are modified.
Microsoft OneDrive,Archive old files,Automatically move files older than a certain date to an archive folder.
Microsoft OneDrive,Rename files in bulk,Automate the renaming of multiple files based on a naming convention.
Microsoft OneDrive,Monitor storage usage,Generate automated reports on OneDrive storage usage and send alerts when nearing limits.
Microsoft OneDrive,Create folder structures,Automatically create predefined folder structures for new projects or clients.
Microsoft OneDrive,Sync OneDrive with external apps,Automate syncing OneDrive with external apps like Dropbox or Google Drive.
Microsoft OneDrive,Export OneDrive data to Excel,"Export metadata of files (e.g., name, size, owner) to an Excel sheet for analysis."
Microsoft OneDrive,Automate file approvals,Create a workflow to automate file approval processes using Microsoft Forms and OneDrive.
Microsoft OneDrive,Track file downloads,Monitor and log file download activities for shared files.
Microsoft OneDrive,Automate file uploads,Automatically upload files from a local directory to OneDrive at scheduled intervals.
Microsoft OneDrive,Create file templates,Automate the creation of file templates for repetitive tasks like invoices or reports.
Microsoft OneDrive,Sync OneDrive with Microsoft Photos,Automate syncing of photos between OneDrive and Microsoft Photos.
Microsoft OneDrive,Delete old shared links,Identify and delete expired or unused shared links to maintain security.
Microsoft OneDrive,Automate folder permissions,Automatically set folder permissions for new folders based on predefined rules.
Microsoft OneDrive,Generate file previews,Create a script to generate and share file previews for specific file types.
Microsoft OneDrive,Automate file tagging,Add tags or labels to files based on their content or metadata.
Microsoft OneDrive,Sync OneDrive with CRM,Automate syncing of files between OneDrive and a CRM system like Salesforce.
Microsoft OneDrive,Schedule file deletions,Automatically delete files after a certain period to manage storage.
Microsoft OneDrive,Automate file versioning,Maintain and manage file versions automatically for collaborative projects.
Microsoft OneDrive,Create shared folders,Automate the creation of shared folders for teams or departments.
Microsoft OneDrive,Sync OneDrive with Microsoft Teams,Automate the process of syncing file data with Microsoft Teams for collaboration.
Microsoft OneDrive,Automate file compression,Compress large files automatically before uploading them to OneDrive.
Microsoft OneDrive,Notify on shared file access,Send notifications when someone accesses a shared file.
Microsoft OneDrive,Automate file recovery,Create a script to recover accidentally deleted files from the trash.
Microsoft OneDrive,Sync OneDrive with project management tools,Automate syncing of files between OneDrive and project management tools like Asana or Trello.
Microsoft OneDrive,Automate file encryption,Encrypt sensitive files before uploading them to OneDrive.
Microsoft OneDrive,Generate audit logs,"Create audit logs for file activities, including uploads, downloads, and edits."
Microsoft OneDrive,Automate file sharing with expiration,Share files with expiration dates automatically set for enhanced security.
Microsoft OneDrive,Sync OneDrive with email attachments,Automatically save email attachments to OneDrive.
Microsoft OneDrive,Automate folder backups,Create backups of specific folders at regular intervals.
Microsoft OneDrive,Notify on low storage,Send alerts when OneDrive storage is running low.
Microsoft OneDrive,Automate file metadata updates,Update file metadata automatically based on predefined rules.
Microsoft OneDrive,Sync OneDrive with cloud databases,Automate syncing of files between OneDrive and cloud databases like Azure.
Microsoft OneDrive,Automate file access revocation,Revoke access to shared files automatically after a certain period.
Microsoft OneDrive,Generate file summaries,Create summaries of file contents using AI or natural language processing.
Microsoft OneDrive,Automate file uploads from forms,Automatically upload files submitted through Microsoft Forms to OneDrive.
Microsoft OneDrive,Sync OneDrive with accounting software,Automate syncing of invoices and receipts between OneDrive and accounting software like QuickBooks.
Microsoft OneDrive,Automate file sorting,Sort files into folders automatically based on their names or metadata.
Microsoft OneDrive,Notify on unauthorized access,Send alerts when unauthorized access to files is detected.
Microsoft OneDrive,Automate file sharing with groups,Share files automatically with specific Microsoft Groups.
Microsoft OneDrive,Sync OneDrive with ERP systems,Automate syncing of files between OneDrive and ERP systems like SAP.
Microsoft OneDrive,Automate file cleanup,Delete temporary or unnecessary files automatically to free up space.
Microsoft OneDrive,Generate file access statistics,"Create reports on file access statistics, including views and edits."
Microsoft OneDrive,Automate file uploads from APIs,Upload files to OneDrive automatically using APIs.
Microsoft OneDrive,Sync OneDrive with learning platforms,Automate syncing of course materials between OneDrive and learning platforms like Moodle.
Microsoft OneDrive,Automate file sharing with clients,Share files automatically with clients based on project or folder criteria.
Microsoft OneDrive,Notify on file upload completion,Send notifications when large file uploads are completed.
Microsoft OneDrive,Automate file sharing with external partners,Share files automatically with external partners based on predefined rules.
Microsoft OneDrive,Sync OneDrive with HR systems,Automate syncing of employee documents between OneDrive and HR systems like Workday.
Microsoft OneDrive,Automate file sharing with contractors,Share files automatically with contractors based on project criteria.
Microsoft OneDrive,Notify on file deletion,Send alerts when files are deleted from specific folders.
Microsoft OneDrive,Automate file sharing with vendors,Share files automatically with vendors based on predefined rules.
Microsoft OneDrive,Sync OneDrive with marketing tools,Automate syncing of marketing assets between OneDrive and tools like HubSpot.
