Category,Description,Short_Description
Non-ITO,Request to update employee emergency contact details.,Emergency contact update
Non-ITO,Air conditioning unit not working in conference room.,AC issue in conference room
Non-ITO,Clarification needed regarding travel reimbursement claim.,Reimbursement clarification
Non-ITO,Printer paper needs restocking in the second floor bay.,Paper refill request
Non-ITO,Lost access badge reported by employee in Block B.,Lost badge report
Non-ITO,Delivery truck blocked the staff parking entrance.,Parking access issue
Non-ITO,Lunch not delivered to 3rd floor pantry on time.,Lunch delivery delay
Non-ITO,Ceiling light flickering near cubicle area.,Light flickering issue
Non-ITO,Request for leave form correction.,Leave form correction
Non-ITO,Elevator making loud noise when in operation.,Elevator noise issue
Non-ITO,Need additional chairs for training room.,Chair request
Non-ITO,Salary slip not generated for the month of April.,Salary slip missing
Non-ITO,Stray dog spotted near back gate.,Stray animal report
Non-ITO,Toilet leakage in Ground Floor ladies restroom.,Restroom leakage
Non-ITO,Tea not served in evening break as scheduled.,Missed tea service
Non-ITO,Parcel delivery delayed due to entry gate clearance.,Parcel delay
Non-ITO,Carpet cleaning needed in meeting room B.,Carpet cleaning request
Non-ITO,Employee name misspelled in ID card.,ID card correction
Non-ITO,Request for new stationary supplies.,Stationary request
Non-ITO,Issue with tax deduction in last salary.,Tax deduction issue
Non-ITO,Unauthorized visitor entered staff area.,Unauthorized access
Non-ITO,Door hinge broken in conference room.,Door repair request
Non-ITO,Boxes left unattended near reception.,Unattended packages
Non-ITO,Water cooler not dispensing cold water.,Water cooler issue
Non-ITO,Onboarding documents not submitted in HR portal.,Onboarding delay
Non-ITO,Board marker pens have dried out.,Marker replacement
Non-ITO,Reimbursement form not available online.,Reimbursement form issue
Non-ITO,CCTV monitor not displaying feed.,CCTV display issue
Non-ITO,Peeling paint in hallway near pantry.,Wall paint issue
Non-ITO,Shortage of cutlery in pantry.,Cutlery shortage
Non-ITO,Request for moving office files to archive room.,File movement request
Non-ITO,Broken tile in stairway needs fixing.,Broken tile report
Non-ITO,Conference room booking system not showing availability.,Booking system complaint
Non-ITO,Bonus calculation request for Q4.,Bonus clarification
Non-ITO,AC filter cleaning overdue.,AC filter issue
Non-ITO,Leftover food disposal issue in lunch area.,Food waste complaint
Non-ITO,Cart used for document shifting is broken.,Broken cart report
Non-ITO,Blind in window area is stuck halfway.,Window blind issue
Non-ITO,Request for whiteboard markers and notepads.,Stationary request
Non-ITO,Duplicate salary credited in error.,Duplicate salary issue
Non-ITO,Exit gate sensor malfunctioning.,Gate sensor issue
Non-ITO,Fan not working in restroom.,Restroom fan issue
Non-ITO,Pallet stacking request in storage room.,Storage request
Non-ITO,Room temperature control not working.,Temperature control issue
Non-ITO,Employee not receiving HR newsletters.,Newsletter delivery issue
Non-ITO,Wrong signage on training room door.,Signage correction
Non-ITO,Staff requested escort for late night shift.,Escort service request
Non-ITO,Water seepage on walls near server room.,Water seepage issue
Non-ITO,Evening snack was not delivered.,Missed snack
Non-ITO,Item wrongly delivered to other floor.,Misdelivery report
Non-ITO,Window lock broken in cabin 102.,Window lock repair
Non-ITO,Change in emergency contact details.,Contact info update
Non-ITO,Missing nameplate on new desk.,Nameplate request
Non-ITO,Travel allowance not updated in system.,TA update issue
Non-ITO,Loose plug socket in pantry.,Loose socket issue
Non-ITO,No tissue paper available in dining area.,Tissue supply issue
Non-ITO,Boxes blocking corridor near fire exit.,Blocked corridor
Non-ITO,Employee issued wrong access badge.,Badge assignment error
Non-ITO,Request for additional dustbins in cubicles.,Dustbin request
Non-ITO,PF contribution mismatch in payslip.,PF error
Non-ITO,Security staff late to shift.,Shift delay report
Non-ITO,Leaking pipe under wash basin.,Pipe leak report
Non-ITO,Request for more vegetarian meal boxes.,Veg meal request
Non-ITO,File cartons misplaced during shifting.,Carton misplacement
Non-ITO,Glass door needs realignment.,Glass door fix
Non-ITO,Issue in uploading performance review form.,Review form issue
Non-ITO,Salary not credited to bank account.,Salary credit issue
Non-ITO,Complaint regarding rude behavior by guard.,Guard behavior complaint
Non-ITO,Broken hand dryer in restroom.,Hand dryer issue
Non-ITO,Milk spilled in pantry fridge.,Milk spill complaint
Non-ITO,Need help shifting furniture.,Furniture shift request
Non-ITO,Lift button panel flickering.,Lift button issue
Non-ITO,Employee joined but system access pending.,Access pending issue
Non-ITO,Issue with form 16 download.,Form 16 issue
Non-ITO,Main gate intercom not working.,Intercom issue
Non-ITO,Ceiling fan loose and noisy.,Fan repair request
Non-ITO,Breakfast arrived cold.,Cold breakfast complaint
Non-ITO,Stained wall in reception area.,Wall cleaning
Non-ITO,Request to re-issue lost ID card.,Lost ID card reissue
Non-ITO,Missing markers in meeting room.,Markers missing
Non-ITO,Query on tax computation.,Tax query
Non-ITO,Tap water flow very slow.,Tap water flow issue
Non-ITO,Lunch not served on time.,Lunch delay
Non-ITO,Items wrongly tagged.,Tagging issue
Non-ITO,Restroom mirror broken.,Mirror repair
Non-ITO,Request to update bank details.,Bank details update
Non-ITO,Track and manage desk or room reservations for hybrid offices using,Enable workflow automation for HR requests
