Category,Short Description,Description
Name.com,Domain Registration Management,Register and manage domain names through Name.com’s platform.
Name.com,WHOIS Privacy Protection,Enable WHOIS privacy to safeguard personal information.
Name.com,Bulk Domain Registration,Register multiple domains at once using bulk registration tools.
Name.com,DNS Record Management,Configure and manage DNS records directly from Name.com.
Name.com,Domain Renewal Notifications,Receive alerts for domains nearing expiration to ensure renewals.
Name.com,Subdomain Creation and Management,Create and manage subdomains for your registered domains.
Name.com,Domain Forwarding Setup,Redirect domain traffic to another website using forwarding tools.
Name.com,Multi-Year Domain Registration,Register domains for multiple years to simplify renewals.
Name.com,Email Hosting Integration,Set up professional email addresses linked to your domains.
Name.com,SSL Certificate Management,Purchase and manage SSL certificates for secure website connections.
Name.com,Auto-Renewal Configuration,Enable automatic domain renewals to avoid expiration.
Name.com,Advanced Domain Search Tools,"Use filters like keywords, TLDs, and price to find the perfect domain."
Name.com,Domain Transfer Management,Transfer domains to or from Name.com with ease.
Name.com,Domain Ownership Verification,Verify domain ownership for integrations with third-party services.
Name.com,Domain Backorder Services,Place backorders for domains that are about to expire.
Name.com,Premium Domain Marketplace,Buy and sell premium domains via Name.com’s marketplace.
Name.com,Bulk DNS Record Updates,Update DNS settings for multiple domains in one operation.
Name.com,Domain Parking Services,Park unused domains to reserve them for future use.
Name.com,Registrar Transfer Authorization Codes,Generate transfer authorization codes to move domains between registrars.
Name.com,Reverse WHOIS Lookup,Search for domains registered under specific owner details.
Name.com,Domain Expiration Tracking,Track domain expiration dates to prioritize renewals.
Name.com,Registrar Renewal Fee Tracking,Track renewal fees associated with your domain portfolio.
Name.com,TLD-Specific Search and Filtering,Filter domain searches by specific top-level domains (TLDs).
Name.com,Domain Portfolio Export,Export domain portfolio data for offline analysis or record-keeping.
Name.com,Bulk Domain Renewals,Renew multiple domains in one operation to save time.
Name.com,Domain Locking for Security,Lock domains to prevent unauthorized transfers or changes.
Name.com,Subdomain SSL Certificate Assignment,Assign SSL certificates to specific subdomains for added security.
Name.com,Email Forwarding Setup,Configure email forwarding for custom domain-based email addresses.
Name.com,IPv6 DNS Record Configuration,Set up IPv6 DNS records for enhanced connectivity.
Name.com,Registrar-Specific Renewal Policies,Manage renewal policies for domains registered with Name.com.
Name.com,Domain Auction Participation,Bid on and purchase domains in Name.com’s auction platform.
Name.com,Domain Redirect Configuration,Set up and manage domain redirects to improve user experience.
Name.com,Integration with Website Builders,Connect domains to website builders like WordPress or Wix.
Name.com,Domain Ownership History Logs,Maintain logs of ownership changes for domains in your portfolio.
Name.com,WHOIS Record Management,Update and manage WHOIS records for registered domains.
Name.com,DNSSEC Configuration,Enable DNSSEC to secure your domains from DNS attacks.
Name.com,Domain Grace Period Recovery,Recover domains during the grace period to avoid deletion.
Name.com,Domain Auction Watchlist,Monitor domains of interest in auctions with a personalized watchlist.
Name.com,Domain Traffic Analytics,Track and analyze traffic data for active or parked domains.
Name.com,Registrar Performance Analytics,Analyze registrar performance for renewals and transfers.
Name.com,Advanced Keyword Domain Search,Search for domains containing specific keywords.
Name.com,Premium Domain Search Filters,Search for premium domains using advanced filters like pricing or length.
Name.com,Domain Marketplace Sales Tracking,Track sales performance of domains listed in the marketplace.
Name.com,Domain Parking Revenue Reports,Monitor revenue generated from parked domains.
Name.com,Bulk WHOIS Privacy Updates,Enable or disable WHOIS privacy for multiple domains in bulk.
Name.com,Domain Portfolio Diversification,Analyze diversification across TLDs and domain types.
Name.com,Lease Agreement Templates,Use pre-designed templates for domain lease agreements.
Name.com,Domain Lease Management,Set up and manage lease agreements for unused domains.
Name.com,Geo-Targeted Domain Registration,Register domains with country-code TLDs for specific regions.
Name.com,Registrar Bulk Transfer Tools,Transfer multiple domains in bulk to or from Name.com.
Name.com,Registrar API Integration,Use APIs to automate domain management tasks.
Name.com,Domain Profitability Reports,"Measure profitability from domains sold, leased, or monetized."
Name.com,Domain Grace Period Cost Analysis,Analyze costs incurred during grace periods for expired domains.
Name.com,Domain Portfolio ROI Analysis,Calculate return on investment for domains in your portfolio.
Name.com,Advanced Subdomain Management,Manage complex subdomain setups for large-scale projects.
Name.com,Domain Redirect History Logs,Maintain logs of redirection configurations for audit purposes.
Name.com,Two-Factor Authentication (2FA),Enable 2FA for enhanced security of your Name.com account.
Name.com,SSL Installation Tracking,Track SSL certificate installations for domains in your portfolio.
Name.com,Domain Expiration Trend Analysis,Analyze trends in domain expirations to optimize renewal strategies.
Name.com,Registrar Renewal Fee Forecasting,Forecast upcoming renewal fees for budgeting purposes.
Name.com,Domain Portfolio Export Formats,"Export portfolio data in formats like CSV, JSON, or Excel."
Name.com,Domain SEO Performance Metrics,Monitor SEO performance for redirected or live domains.
Name.com,Marketplace Auction Success Metrics,Track success rates for domains acquired through auctions.
Name.com,Domain Portfolio Growth Analysis,Measure growth trends in domain acquisitions over time.
Name.com,Registrar Transfer Success Metrics,Analyze success rates of domain transfers to and from Name.com.
Name.com,Domain Keyword Suggestion Tools,Generate keyword-based suggestions for registering new domains.
Name.com,Registrar Cost Comparison Reports,Compare registration and renewal fees across registrars.
Name.com,Domain Auction Bidding Analytics,Analyze bidding patterns for domains in Name.com auctions.
Name.com,SSL Vendor Comparison Tools,Compare SSL vendors for pricing and features.
Name.com,Domain Lease Revenue Tracking,Track revenue generated from leasing domains to other parties.
Name.com,Registrar Support Quality Analysis,Evaluate the quality of customer support provided by Name.com.
Name.com,Domain Renewal Success Metrics,Analyze timely renewal success rates to avoid expirations.
Name.com,Bulk Domain Import Tools,Import domains from other registrars to Name.com in bulk.
Name.com,Domain Traffic Monetization Reports,Monitor revenue generated from monetized domain traffic.
Name.com,Lease Revenue Analytics,Track revenue performance for leased domains over time.
Name.com,Registrar-Specific Renewal Analysis,Generate reports on renewal success rates for domains with Name.com.
Name.com,Domain Diversification Insights,Gain insights into portfolio diversification across various TLDs.
Name.com,Integration with Cloudflare,Link domains to Cloudflare for enhanced security and performance.
Name.com,Domain Redirect Analytics,Track and analyze performance metrics of redirected domains.
Name.com,Domain Portfolio Health Reports,Generate insights into domain portfolio health and performance.
Name.com,Marketplace Domain Valuation Tools,Use Name.com’s tools to estimate the value of marketplace domains.
