Category,Short Description,Description
Qualtrics,Auto-send survey invitations,Automatically distribute survey invitations to a predefined list of participants via email.
Qualtrics,Schedule survey reminders,Send automated reminders to participants who have not completed the survey after a defined time period.
Qualtrics,Export responses to Google Sheets,Automatically export survey responses to a Google Sheet for real-time collaboration and analysis.
Qualtrics,Create personalized email invites,Generate personalized email invitations for survey participants using dynamic fields.
Qualtrics,Auto-close surveys,Automatically close a survey after reaching a specific number of responses or on a specific date.
Qualtrics,Sync responses with Salesforce,Push survey responses into Salesforce to update customer profiles and track feedback.
Qualtrics,Generate custom reports,Automatically generate and share PDF reports based on survey results.
Qualtrics,Send thank-you emails,Automatically send personalized thank-you emails to participants after survey completion.
Qualtrics,Integrate with Slack,Send Slack notifications to specific channels when new survey responses are received.
Qualtrics,Auto-translate surveys,Automatically translate survey questions and responses into multiple languages using translation APIs.
Qualtrics,Sync survey results with Tableau,Send survey results to Tableau for real-time data visualization and advanced analytics.
Qualtrics,Trigger follow-up surveys,Automatically trigger follow-up surveys based on responses to specific questions.
Qualtrics,Auto-tag responses,Use scripts to automatically tag survey responses based on keywords or sentiment.
Qualtrics,Calculate Net Promoter Score (NPS),Automatically calculate NPS from survey responses and generate a report.
Qualtrics,Schedule recurring surveys,"Automatically schedule recurring surveys, such as weekly or monthly employee satisfaction surveys."
Qualtrics,Integrate with Trello,"Create Trello cards automatically based on specific survey responses, such as feature requests."
Qualtrics,Export responses to Excel,Automatically export survey data to Excel for offline analysis.
Qualtrics,Auto-close incomplete responses,Close incomplete survey responses after a specified period of inactivity.
Qualtrics,Send SMS survey invitations,Automatically send survey invitations via SMS using integrated messaging services.
Qualtrics,Sync with Microsoft Teams,Post notifications in Microsoft Teams channels when new survey results are received.
Qualtrics,Create dynamic dashboards,Generate real-time dashboards in Qualtrics based on response data and predefined criteria.
Qualtrics,Auto-update CRM records,"Automatically update CRM records (e.g., HubSpot, Salesforce) with survey responses."
Qualtrics,Monitor response rates,Automatically track and alert stakeholders about response rates for active surveys.
Qualtrics,Auto-create support tickets,Generate support tickets in tools like Zendesk or Freshdesk based on survey feedback.
Qualtrics,Generate sentiment analysis reports,Use AI to analyze the sentiment of open-ended responses and generate sentiment reports automatically.
Qualtrics,Export survey results to Power BI,Push survey data to Power BI for advanced reporting and visualization.
Qualtrics,Auto-send escalation alerts,Automatically escalate negative feedback or low satisfaction scores to relevant teams.
Qualtrics,Integrate with Notion,Automatically create pages in Notion to document and organize survey insights.
Qualtrics,Track incomplete responses,Monitor incomplete responses and send reminders to participants to complete their surveys.
Qualtrics,Auto-generate survey links,Dynamically generate unique survey links for participants based on predefined criteria.
Qualtrics,Integrate with Google Calendar,"Automatically create calendar events based on survey responses, such as meeting requests."
Qualtrics,Conduct A/B testing,Automate A/B testing of survey versions to identify which version performs better.
Qualtrics,Generate word clouds from open responses,Automatically generate word clouds from open-text survey responses to visualize common themes.
