Category,Short Description,Description
SolarWinds Service Desk,Auto-Assign Tickets to Technicians,"Automatically assign tickets to technicians based on ticket category, priority, or department."
SolarWinds Service Desk,Notify on SLA Breach,Send automated notifications to technicians and managers when an SLA is about to breach or has breached.
SolarWinds Service Desk,Auto-Close Resolved Tickets,"Automatically close tickets that have been in the ""Resolved"" state for a specified number of days."
SolarWinds Service Desk,Escalate Overdue Tickets,Automatically escalate tickets that exceed SLA time to higher-level support teams.
SolarWinds Service Desk,Auto-Assign Priority to Tickets,Automatically assign ticket priorities based on keywords in the subject or description.
SolarWinds Service Desk,Notify Users of Ticket Updates,Automatically notify users when their ticket status or priority changes.
SolarWinds Service Desk,Reopen Tickets on User Response,Automatically reopen tickets if a user responds to a closed or resolved ticket.
SolarWinds Service Desk,Notify on High-Priority Tickets,Send alerts to technicians and managers when high-priority tickets are logged.
SolarWinds Service Desk,Auto-Create Tickets from Emails,Convert emails sent to the support mailbox into tickets automatically.
SolarWinds Service Desk,Assign Tickets Based on Skills,Automatically route tickets to technicians with relevant skills to resolve the issue.
SolarWinds Service Desk,Send Satisfaction Surveys After Resolution,Automatically send customer satisfaction surveys to users after their tickets are resolved.
SolarWinds Service Desk,Generate Weekly SLA Reports,Automate the creation and distribution of weekly SLA performance reports for stakeholders.
SolarWinds Service Desk,Auto-Categorize Tickets,Automatically categorize tickets based on keywords in the description or predefined rules.
SolarWinds Service Desk,Notify on Major Incidents,Automatically notify all impacted users and stakeholders when a major incident is logged.
SolarWinds Service Desk,Monitor Technician Workload,Track technician workloads automatically to ensure even distribution of tasks.
SolarWinds Service Desk,Notify on VIP User Tickets,Send notifications to technicians when a ticket is submitted by a VIP user.
SolarWinds Service Desk,Archive Old Tickets,Automatically archive tickets that have been closed for a specified period of time.
SolarWinds Service Desk,Auto-Resolve Duplicate Tickets,Automatically resolve duplicate tickets by linking them to the original ticket.
SolarWinds Service Desk,Notify on Ticket Escalation,Send alerts to technicians and managers whenever a ticket is escalated.
SolarWinds Service Desk,Assign Tickets During After-Hours,Automatically assign tickets to on-call technicians for after-hours requests.
SolarWinds Service Desk,Create Problem Records from Repeated Tickets,Automatically create a problem record when multiple tickets with the same issue are logged.
SolarWinds Service Desk,Auto-Close Tickets Without User Response,Automatically close tickets if the user does not respond within a set time period after a resolution is provided.
SolarWinds Service Desk,Generate Daily Ticket Reports,"Automate the creation of daily reports summarizing ticket activity, resolutions, and pending issues."
SolarWinds Service Desk,Notify Users of Scheduled Maintenance,Automatically notify users about planned system maintenance through emails or portal alerts.
SolarWinds Service Desk,Auto-Assign Tickets to Groups,Automatically route tickets to specific technician groups based on the issue type or request category.
SolarWinds Service Desk,Monitor SLA Adherence,Automate SLA adherence tracking and notify managers of SLA violations.
