Category,Short Description,Description
Microsoft Remote Desktop Services (RDS),Centralized Application Management,Manage and deliver applications from a centralized RDS server.
Microsoft Remote Desktop Services (RDS),Remote Desktop Access,Provide secure remote desktop access from any location.
Microsoft Remote Desktop Services (RDS),Application Virtualization,Deliver virtualized applications without installing them locally.
Microsoft Remote Desktop Services (RDS),Multi-Device Compatibility,"Access RDS-hosted desktops and applications from PCs, Macs, tablets, and smartphones."
Microsoft Remote Desktop Services (RDS),Session-Based Desktop Delivery,Deliver session-based desktops to multiple users from a single server.
Microsoft Remote Desktop Services (RDS),Role-Based Access Control,Assign permissions based on user roles for secure access.
Microsoft Remote Desktop Services (RDS),Integration with Active Directory,Authenticate users seamlessly with Active Directory integration.
Microsoft Remote Desktop Services (RDS),Secure Data Transmission,Encrypt data in transit using RDP encryption for secure communication.
Microsoft Remote Desktop Services (RDS),Application Entitlement Management,Control which users or groups can access specific applications.
Microsoft Remote Desktop Services (RDS),Multi-Monitor Support,Allow users to utilize multiple monitors for enhanced productivity.
Microsoft Remote Desktop Services (RDS),Remote Printing Support,Enable users to print from remote desktops to local printers.
Microsoft Remote Desktop Services (RDS),RemoteApp Program Delivery,Deliver specific applications to users without providing full desktops.
Microsoft Remote Desktop Services (RDS),High Availability Deployment,Ensure continuous availability with RDS deployment in high-availability mode.
Microsoft Remote Desktop Services (RDS),Load Balancing for Sessions,Distribute user sessions across multiple servers for optimal performance.
Microsoft Remote Desktop Services (RDS),Session Timeout Policies,Configure session timeouts for enhanced security and resource management.
Microsoft Remote Desktop Services (RDS),Integration with Microsoft 365,Deliver Microsoft 365 applications seamlessly through RDS.
Microsoft Remote Desktop Services (RDS),BYOD Support,Allow employees to securely access RDS resources on personal devices.
Microsoft Remote Desktop Services (RDS),Application Usage Monitoring,Track application usage to optimize licensing and performance.
Microsoft Remote Desktop Services (RDS),Remote Workforce Enablement,Provide secure access to corporate desktops for remote employees.
Microsoft Remote Desktop Services (RDS),Thin Client Optimization,Optimize performance for users accessing RDS via thin clients.
Microsoft Remote Desktop Services (RDS),HTML5 Web Access,Enable users to access RDS-hosted resources via HTML5-compatible browsers.
Microsoft Remote Desktop Services (RDS),Secure Gateway Access,Provide secure entry points for users accessing RDS environments remotely.
Microsoft Remote Desktop Services (RDS),Session-Based Load Balancing,Dynamically distribute user sessions across servers based on load.
Microsoft Remote Desktop Services (RDS),Centralized License Management,Manage RDS licenses and usage across multiple servers.
Microsoft Remote Desktop Services (RDS),Real-Time Session Reconnection,Automatically reconnect users to their sessions after network interruptions.
Microsoft Remote Desktop Services (RDS),Customizable End-User Portals,Create branded portals for end users to access RDS resources.
