Category,Short Description,Description
Nutanix Frame,Cloud-Based Virtual Desktop Delivery,Deliver virtual desktops hosted on public or private clouds.
Nutanix Frame,Application Virtualization,Streamline application delivery without requiring local installations.
Nutanix Frame,Centralized Desktop Management,Manage all virtual desktops from a centralized control plane.
Nutanix Frame,Multi-Cloud Support,"Deploy virtual desktops across AWS, Azure, or Google Cloud."
Nutanix Frame,Secure Remote Desktop Access,Provide secure access to virtual desktops from any location.
Nutanix Frame,Persistent Desktop Sessions,Maintain user settings and data across multiple sessions.
Nutanix Frame,Non-Persistent Desktops,Configure temporary desktops for task-based or shared environments.
Nutanix Frame,BYOD Compatibility,Allow users to securely access desktops using their personal devices.
Nutanix Frame,GPU-Accelerated Virtual Desktops,Support resource-intensive applications with GPU-powered desktops.
Nutanix Frame,Dynamic Resource Scaling,Automatically scale desktop resources up or down based on usage.
Nutanix Frame,Role-Based Access Control,Assign access permissions to users based on their roles.
Nutanix Frame,Real-Time Monitoring and Analytics,Monitor user activity and desktop performance in real time.
Nutanix Frame,Integration with Active Directory,Authenticate users using on-premises or cloud-based Active Directory.
Nutanix Frame,Application Entitlement Management,Control access to specific applications for different user groups.
Nutanix Frame,Cloud Storage Integration,Integrate with cloud storage services like Google Drive or OneDrive.
Nutanix Frame,Secure File Sharing,Enable secure file sharing within virtual desktop environments.
Nutanix Frame,Multi-Device Compatibility,"Access virtual desktops from PCs, Macs, tablets, and smartphones."
Nutanix Frame,Secure Browser Access,Provide HTML5 browser-based access to virtual desktops.
Nutanix Frame,Unified Workspace Access,"Deliver desktops, apps, and files in a single workspace interface."
Nutanix Frame,Disaster Recovery for Desktops,Ensure business continuity with disaster recovery options for virtual desktops.
Nutanix Frame,Integration with Identity Providers,"Support single sign-on via Okta, Azure AD, or other identity providers."
Nutanix Frame,Endpoint Security Compliance,Enforce endpoint compliance before granting access to desktops.
Nutanix Frame,Secure Clipboard Redirection,Control clipboard transfers between virtual desktops and local devices.
Nutanix Frame,Integration with Nutanix AHV,Deploy virtual desktops on Nutanix AHV for private cloud environments.
Nutanix Frame,GPU Workstations for CAD,Deliver high-performance virtual desktops for CAD and 3D rendering workloads.
