Category,Short Description,Description
Monday.com,Auto-assign tasks to team members,"Automatically assign tasks to team members based on their roles, workload, or expertise."
Monday.com,Notify on task creation,Send notifications to relevant team members when a new task is created in a board.
Monday.com,Auto-prioritize tasks,"Automatically set task priority based on deadlines, dependencies, or task type."
Monday.com,Auto-create subtasks,Automatically generate subtasks for tasks based on project templates or predefined workflows.
Monday.com,Notify on overdue tasks,Send automated reminders to task owners when tasks are overdue or approaching their deadlines.
Monday.com,Sync with Google Calendar,Automatically sync Monday.com tasks with Google Calendar to integrate schedules and deadlines.
Monday.com,Notify on task updates,Send notifications to team members when tasks are updated or reassigned.
Monday.com,Auto-create tasks from emails,Automatically create Monday.com tasks when emails are sent to a designated inbox or include specific keywords.
Monday.com,Sync with Slack,"Send automated updates to Slack channels when tasks are created, updated, or completed in Monday.com."
Monday.com,Auto-create recurring tasks,Automatically generate recurring tasks for regular activities like meetings or reports.
Monday.com,Notify on project completion,Send notifications to team members or stakeholders when a Monday.com project is marked as completed.
Monday.com,Auto-archive completed tasks,Automatically archive or move completed tasks to a specific group or location.
Monday.com,Notify on task dependencies,Send notifications when task dependencies are resolved or blocked.
Monday.com,Generate weekly progress reports,Automate the creation and distribution of weekly progress reports for Monday.com projects.
Monday.com,Auto-assign tasks to specific groups,"Automatically move tasks to specific groups based on their type, priority, or project."
Monday.com,Notify on overdue milestones,Send reminders for overdue project milestones to relevant stakeholders.
Monday.com,Auto-create project templates,Automatically generate project templates for repetitive workflows or processes.
Monday.com,Sync with Asana,Automatically sync tasks between Monday.com and Asana for cross-platform collaboration.
Monday.com,Notify on high-priority tasks,Send alerts to relevant team members when high-priority tasks are created or updated.
Monday.com,Auto-add collaborators to tasks,Automatically add collaborators to tasks based on project roles or workflows.
Monday.com,Notify on task approvals,Send notifications when tasks are approved or rejected by stakeholders.
Monday.com,Sync with Microsoft Teams,"Automatically send updates to Microsoft Teams when Monday.com tasks are created, updated, or completed."
Monday.com,Notify on changes to task priorities,Send alerts when task priorities are updated in Monday.com projects.
Monday.com,Auto-create tasks for event planning,"Automatically generate tasks for event planning, including logistics and agenda creation."
