Category,Short Description,Description
ServiceNow,Automate Incident Assignment,Automatically assign incidents to the appropriate group based on predefined conditions such as priority and category.
ServiceNow,Close Resolved Incidents,Automatically close incidents after a set number of days in the resolved state.
ServiceNow,Notify on SLA Breach,Send automated notifications to stakeholders when an SLA is about to breach or has breached.
ServiceNow,Auto-approval for Low-Risk Changes,Automatically approve changes categorized as low risk based on preconfigured rules.
ServiceNow,Update CMDB Records,"Automatically update CMDB records when changes are made to associated incidents, changes, or tasks."
ServiceNow,Create Problem Records from Repeated Incidents,Automate the creation of a problem record when multiple incidents with the same root cause are logged.
ServiceNow,Notify Users of Password Expiry,Send automated email notifications to users whose passwords are about to expire.
ServiceNow,Auto-Assign Change Requests,Automatically assign change requests to the appropriate change manager or group based on category or urgency.
ServiceNow,Clean Up Old Incidents,"Automatically close incidents that are in a certain state (e.g., On Hold) for an extended period."
ServiceNow,Automate Knowledge Article Creation,Create a knowledge article automatically when a resolved incident has new troubleshooting steps.
ServiceNow,Reopen Incidents on User Response,Automatically reopen incidents when users update them after resolution.
ServiceNow,Notify Users of Major Incidents,Send automated notifications to all affected users when a major incident is created.
ServiceNow,Reset User Passwords,Automate the password reset process for users via a scripted workflow.
ServiceNow,Validate Change Request Approvals,Script automated validation of approvals when changes are moved to the implementation phase.
ServiceNow,Assign Tasks Based on Manager,Automatically assign tasks to employees based on their manager’s assignments and workload.
ServiceNow,Send Weekly SLA Reports,Generate and send automated SLA performance reports to stakeholders every week.
ServiceNow,Auto-Resolve Low-Priority Incidents,Automatically resolve low-priority incidents if no updates are recorded after a certain time period.
ServiceNow,Notify on Asset Warranty Expiry,Send automated notifications for assets with warranties about to expire.
ServiceNow,Generate Daily Incident Summary,"Automate the generation of a daily summary report of all incidents logged, resolved, or pending."
ServiceNow,Validate CMDB Data,Automate data validation to ensure that CMDB records have accurate and complete information.
ServiceNow,Auto-Assign Tickets During Holidays,Automatically assign tickets to on-call staff during holidays or after-hours.
ServiceNow,Update Parent Ticket Status,Automatically update the status of a parent ticket when all child tickets are resolved.
ServiceNow,Monitor Disk Space and Create Alerts,Create automated alerts and incidents when server disk space usage exceeds a threshold.
ServiceNow,Automate User Role Provisioning,Automatically assign roles to users based on their department or job title.
ServiceNow,Notify on License Expiry,Send automated notifications to relevant teams when software licenses are nearing expiry.
ServiceNow,Auto-Create Tasks for New Projects,Automatically create a predefined set of tasks when a new project is created.
ServiceNow,Deactivate Inactive User Accounts,Deactivate user accounts that have been inactive for a specified period.
ServiceNow,Escalate Overdue Tasks,Automatically escalate tasks that are overdue to higher-level teams.
ServiceNow,Automate Post-Implementation Reviews,Automatically create and assign post-implementation review tasks after a change is completed.
ServiceNow,Block Unauthorized Changes,Automatically block unauthorized changes by validating the change request against predefined rules.
ServiceNow,Auto-Assign Knowledge Articles to Reviewers,Automatically assign knowledge articles to reviewers based on their expertise.
ServiceNow,Generate Monthly Compliance Reports,Automate the generation of compliance reports for audit purposes.
ServiceNow,Notify on Failed Scheduled Jobs,Send automated notifications to admins when a scheduled job fails.
ServiceNow,Auto-Tag Incidents with Keywords,Automatically tag incidents with relevant keywords for easier categorization and searchability.
ServiceNow,Send Onboarding Checklist to New Hires,Automate the sending of onboarding checklists to new hires upon their account creation.
ServiceNow,Auto-Create Incidents from Email Requests,Automatically create incidents from emails sent to a specified support address.
ServiceNow,Monitor Service Health,Automate the monitoring of service health and create incidents for any detected degradation.
ServiceNow,Standardize Incident Titles,Automatically standardize incident titles based on predefined templates.
ServiceNow,Schedule Maintenance Notifications,Send automated maintenance notifications to affected users before scheduled maintenance windows.
ServiceNow,Update Task Status Based on Dependencies,Automatically update the status of a task when its dependent tasks are completed.
ServiceNow,Automate License Usage Tracking,Track software license usage and create alerts when usage exceeds thresholds.
ServiceNow,Create Child Incidents for Major Incidents,Automatically create child incidents when a major incident is logged.
ServiceNow,Generate Quarterly Performance Dashboards,Automate the creation of dashboards summarizing performance metrics each quarter.
ServiceNow,Set Default Values for New Records,Automatically populate default values for specific fields when creating new records.
ServiceNow,Archive Old Records,Automate the archival of records that are no longer active but need to be retained for compliance.
ServiceNow,Auto-Notify on VIP User Issues,Send immediate notifications to support teams when a VIP user logs an issue.
ServiceNow,Monitor Integration Failures,Automatically monitor and raise alerts for failures in third-party integrations.
ServiceNow,Generate Daily Task Reminders,Send automated reminders for tasks due within the next 24 hours.
ServiceNow,Synchronize User Data with HR System,Automate user data synchronization with an external HR system.
ServiceNow,Auto-Generate Audit Logs,Automatically generate and store detailed audit logs for critical actions.
ServiceNow,Notify on Configuration Drift,Send alerts when configuration drift is detected in CMDB items.
ServiceNow,Automate Incident Aging Reports,Generate automated reports on aging incidents grouped by priority and assignment group.
ServiceNow,Auto-Categorize Requests,Automatically assign categories to service requests based on keywords or descriptions.
ServiceNow,Enforce Naming Conventions,Automate the enforcement of naming conventions for CI records in the CMDB.
ServiceNow,Notify on Critical Hardware Failures,Send automated notifications when critical hardware failures are detected.
ServiceNow,Monitor API Usage Limits,Automatically create alerts when API usage approaches predefined thresholds.
ServiceNow,Disable Orphaned User Accounts,Automatically identify and disable user accounts not associated with any active employee.
ServiceNow,Schedule Recurring Tasks,Automate the creation of recurring tasks for regular maintenance or audits.
ServiceNow,Automate User Group Membership Updates,Automatically update user group memberships based on role or department changes.
ServiceNow,Analyze Incident Trends,Automate trend analysis on historical incident data and generate reports.
ServiceNow,Notify on Unauthorized Access Attempts,Send alerts when unauthorized access attempts are detected in the system.
ServiceNow,Auto-Renew Expiring Contracts,Automatically renew contracts approaching expiry based on predefined rules.
ServiceNow,Automate Software Deployment Requests,Handle software deployment requests automatically through integration with deployment tools.
ServiceNow,Generate Change Impact Analysis Reports,Automate the creation of reports assessing the impact of proposed changes.
