Category,Short Description,Description
Tripwire,Monitor Critical System Files,Automatically track and detect changes to critical system files and configurations. Generate alerts when unauthorized modifications are detected.
Tripwire,Security Configuration Compliance,Monitor system configurations against security baselines and automatically generate compliance reports for deviations.
Tripwire,Vulnerability Assessment,Automatically scan systems for known vulnerabilities and generate prioritized remediation reports.
Tripwire,PCI Compliance Monitoring,Track and report on PCI DSS compliance requirements by monitoring file integrity and system configurations.
Tripwire,Active Directory Changes,Monitor and alert on unauthorized changes to Active Directory objects and configurations.
Tripwire,Database Configuration Monitoring,Track changes to database configurations and alert on unauthorized modifications.
Tripwire,HIPAA Compliance Reporting,Automatically generate HIPAA compliance reports by monitoring access to protected health information.
Tripwire,SOX Compliance Monitoring,Track changes to financial systems and generate reports for SOX compliance requirements.
Tripwire,Service Account Changes,Monitor and alert on modifications to service account configurations and permissions.
Tripwire,Registry Modification Detection,Track and report unauthorized changes to Windows registry settings.
Tripwire,Network Device Configuration,Monitor configuration changes on network devices and generate alerts for unauthorized modifications.
Tripwire,Web Server Configuration,Track changes to web server configurations and detect unauthorized modifications.
Tripwire,File Permission Changes,Monitor and alert on unauthorized changes to file permissions and access controls.
Tripwire,System Patch Monitoring,Track system patch levels and alert on missing critical security updates.
Tripwire,User Account Creation,Monitor and alert on unauthorized user account creation across systems.
Tripwire,Scheduled Task Changes,Track modifications to scheduled tasks and detect potentially malicious additions.
Tripwire,Group Policy Changes,Monitor and report on unauthorized modifications to Group Policy settings.
Tripwire,Firewall Rule Changes,Track changes to firewall rules and alert on unauthorized modifications.
Tripwire,Application Installation,Monitor and alert on unauthorized software installations across systems.
Tripwire,System File Hash Verification,Automatically verify file hashes against known good values to detect tampering.
Tripwire,Backup File Integrity,Monitor backup files for unauthorized modifications or corruption.
Tripwire,Configuration Drift Detection,Track and report on systems that deviate from approved configurations.
Tripwire,Security Policy Compliance,Monitor compliance with organizational security policies and generate violation reports.
Tripwire,Log File Integrity,Track modifications to system log files to detect tampering attempts.
Tripwire,Certificate Store Changes,Monitor changes to system certificate stores and alert on unauthorized modifications.
Tripwire,Service Configuration Changes,Track modifications to system service configurations and startup parameters.
Tripwire,DNS Configuration Changes,Monitor changes to DNS server configurations and zone files.
Tripwire,DHCP Configuration Changes,Track modifications to DHCP server configurations and scope settings.
Tripwire,File Share Permissions,Monitor changes to file share permissions and access controls.
Tripwire,System Time Changes,Track unauthorized modifications to system time settings.
Tripwire,Driver Installation,Monitor and alert on unauthorized driver installations.
